ListType,Item,Favored,Value,StringVal,MinDifficulty,MaxDifficulty,TooltipString
PeacekeeperWarLimits,DIPLOACTION_DECLARE_SURPRISE_WAR,0,0,,,,
PeacekeeperWarLimits,DIPLOACTION_DECLARE_FORMAL_WAR,0,0,,,,
PeacekeeperWarLimits,DIPLOACTION_DECLARE_WAR_MINOR_CIV,0,0,,,,
ScienceLoverSciencePreference,YIELD_SCIENCE,1,20,,,,
FaithLoverFaithPreference,YIELD_FAITH,1,20,,,,
AirpowerLoverAirpowerPreference,PSEUDOYIELD_UNIT_AIR_COMBAT,1,50,,,,
ExploitationLoverExploitationPreference,PSEUDOYIELD_IMPROVEMENT,1,5,,,,
EnvironmentLoverEnvironmentPreference,PSEUDOYIELD_ENVIRONMENT,1,5,,,,
ExplorationObsessedExplorers,PSEUDOYIELD_UNIT_EXPLORER,1,50,,,,
StandardSettlePlot,Total Yield,0,2,YIELD_PRODUCTION,,,LOC_SETTLEMENT_RECOMMENDATION_TOTAL_YIELD
StandardSettlePlot,Total Yield,0,1,YIELD_FOOD,,,LOC_SETTLEMENT_RECOMMENDATION_TOTAL_YIELD
StandardSettlePlot,Total Yield,0,1,YIELD_SCIENCE,,,LOC_SETTLEMENT_RECOMMENDATION_TOTAL_YIELD
StandardSettlePlot,Total Yield,0,1,YIELD_CULTURE,,,LOC_SETTLEMENT_RECOMMENDATION_TOTAL_YIELD
StandardSettlePlot,Total Yield,0,1,YIELD_FAITH,,,LOC_SETTLEMENT_RECOMMENDATION_TOTAL_YIELD
StandardSettlePlot,Inner Ring Yield,0,2,YIELD_FOOD,,,LOC_SETTLEMENT_RECOMMENDATION_INNER_YIELD
StandardSettlePlot,Inner Ring Yield,0,2,YIELD_PRODUCTION,,,LOC_SETTLEMENT_RECOMMENDATION_INNER_YIELD
StandardSettlePlot,Inner Ring Yield,0,1,YIELD_SCIENCE,,,LOC_SETTLEMENT_RECOMMENDATION_INNER_YIELD
StandardSettlePlot,Inner Ring Yield,0,1,YIELD_CULTURE,,,LOC_SETTLEMENT_RECOMMENDATION_INNER_YIELD
StandardSettlePlot,Inner Ring Yield,0,1,YIELD_FAITH,,,LOC_SETTLEMENT_RECOMMENDATION_INNER_YIELD
StandardSettlePlot,Fresh Water,0,20,,,,LOC_SETTLEMENT_RECOMMENDATION_FRESH_WATER
StandardSettlePlot,New Resources,0,4,,,,LOC_SETTLEMENT_RECOMMENDATION_NEW_RESOURCES
StandardSettlePlot,Coastal,0,12,,,,LOC_SETTLEMENT_RECOMMENDATION_COAST
StandardSettlePlot,Specific Resource,0,3,RESOURCE_HORSES,,,LOC_SETTLEMENT_RECOMMENDATION_RESOURCES
StandardSettlePlot,Specific Resource,0,5,RESOURCE_IRON,,,LOC_SETTLEMENT_RECOMMENDATION_RESOURCES
StandardSettlePlot,Specific Resource,0,2,RESOURCE_NITER,,,LOC_SETTLEMENT_RECOMMENDATION_RESOURCES
StandardSettlePlot,Resource Class,0,2,RESOURCECLASS_LUXURY,,,LOC_SETTLEMENT_RECOMMENDATION_LUXURY_RESOURCES
StandardSettlePlot,Resource Class,0,2,RESOURCECLASS_STRATEGIC,,,LOC_SETTLEMENT_RECOMMENDATION_STRATEGIC_RESOURCES
StandardSettlePlot,Specific Feature,0,-3,FEATURE_ICE,,,LOC_SETTLEMENT_RECOMMENDATION_FEATURES
StandardSettlePlot,Specific Feature,0,6,FEATURE_DEAD_SEA,,,LOC_SETTLEMENT_RECOMMENDATION_FEATURES
StandardSettlePlot,Foreign Continent,1,-2,,,,LOC_SETTLEMENT_RECOMMENDATION_FOREIGN_CONTINENT
StandardSettlePlot,Nearest Friendly City,0,-10,,,,LOC_SETTLEMENT_RECOMMENDATION_NEAREST_CITY
StandingArmyPseudoYields,PSEUDOYIELD_STANDING_ARMY_NUMBER,1,33,,,,
StandingArmyPseudoYields,PSEUDOYIELD_STANDING_ARMY_VALUE,1,50,,,,
SettleAllContinents,Foreign Continent,1,120,,,,
WithShieldDiplomacy,DIPLOACTION_MAKE_PEACE,0,0,,,,
WonderObsessedWonders,PSEUDOYIELD_WONDER,1,25,,,,
GreeceCivics,CIVIC_DRAMA_POETRY,1,0,,,,
GreeceYields,YIELD_CULTURE,1,20,,,,
TomyrisDiplomacy,DIPLOACTION_DECLARE_SURPRISE_WAR,0,0,,,,
GilgameshDiplomacy,DIPLOACTION_DECLARE_FRIENDSHIP,1,0,,,,
MinorCivDiplomacy,DIPLOACTION_DECLARE_HOLY_WAR,0,0,,,,
MinorCivDiplomacy,DIPLOACTION_DECLARE_LIBERATION_WAR,0,0,,,,
MinorCivDiplomacy,DIPLOACTION_DECLARE_RECONQUEST_WAR,0,0,,,,
MinorCivDiplomacy,DIPLOACTION_DECLARE_SURPRISE_WAR,0,0,,,,
DefaultTechBoostSupportList,DEFAULT_HANDLER_MEET_CIV,1,0,,,,
DefaultTechBoostSupportList,DEFAULT_HANDLER_ENCOUNTER_UNIT,1,0,,,,
DefaultTechBoostSupportList,DEFAULT_HANDLER_TRAIN_UNIT,1,0,,,,
DefaultTechBoostSupportList,DEFAULT_HANDLER_OWN_TWO_UNIT_TYPES,1,0,,,,
DefaultTechBoostSupportList,DEFAULT_HANDLER_CONSTRUCT_BUILDING,1,0,,,,
DefaultTechBoostSupportList,DEFAULT_HANDLER_KILL_WITH,1,0,,,,
DefaultTechBoostSupportList,DEFAULT_HANDLER_CLEAR_CAMP,1,0,,,,
DefaultTechBoostSupportList,DEFAULT_HANDLER_FIND_NATURAL_WONDER,1,0,,,,
DefaultTechBoostSupportList,DEFAULT_HANDLER_OWN_X_UNITS,1,0,,,,
DefaultTechBoostSupportList,DEFAULT_HANDLER_RESEARCH_TECH,1,0,,,,
DefaultTechBoostSupportList,DEFAULT_HANDLER_IMPROVE_SPECIFIC_RESOURCE,1,0,,,,
DefaultTechBoostSupportList,DEFAULT_HANDLER_NUM_IMPROVED_TILES,1,0,,,,
DefaultTechBoostSupportList,DEFAULT_HANDLER_MEET_X_PERCENT_CIVS_HAVE_DISTRICT,1,0,,,,
DefaultTechBoostSupportList,DEFAULT_HANDLER_MEET_CIVS_WITH_DISTRICT,1,0,,,,
DefaultTechBoostSupportList,DEFAULT_HANDLER_GOLD_PROFIT,1,0,,,,
DefaultTechBoostSupportList,DEFAULT_HANDLER_HAVE_X_GOLD_HAVE_X_UNIT,1,0,,,,
DefaultTechBoostSupportList,DEFAULT_HANDLER_HAVE_X_BUILDINGS,1,0,,,,
DefaultTechBoostSupportList,DEFAULT_HANDLER_MAINTAIN_X_TRADE_ROUTES,1,0,,,,
DefaultTechBoostSupportList,DEFAULT_HANDLER_HAVE_X_IMPROVEMENTS,1,0,,,,
UnitPriorityBoosts,UNIT_SETTLER,1,1,,,,
MinorCivDistricts,DISTRICT_HOLY_SITE,0,0,,,,
MinorCivDistricts,DISTRICT_CAMPUS,0,0,,,,
MinorCivDistricts,DISTRICT_ENCAMPMENT,0,0,,,,
MinorCivDistricts,DISTRICT_AERODROME,0,0,,,,
MinorCivDistricts,DISTRICT_COMMERCIAL_HUB,0,0,,,,
MinorCivDistricts,DISTRICT_ENTERTAINMENT_COMPLEX,0,0,,,,
MinorCivDistricts,DISTRICT_THEATER,0,0,,,,
MinorCivDistricts,DISTRICT_INDUSTRIAL_ZONE,0,0,,,,
MinorCivDistricts,DISTRICT_AQUEDUCT,0,0,,,,
MinorCivDistricts,DISTRICT_SPACEPORT,0,0,,,,
MinorCivScienceDistrict,DISTRICT_CAMPUS,1,0,,,,
MinorCivReligiousDistrict,DISTRICT_HOLY_SITE,1,0,,,,
MinorCivTradeDistrict,DISTRICT_COMMERCIAL_HUB,1,0,,,,
MinorCivCultureDistrict,DISTRICT_THEATER,1,0,,,,
MinorCivMilitaryDistrict,DISTRICT_ENCAMPMENT,1,0,,,,
MinorCivIndustryDistrict,DISTRICT_INDUSTRIAL_ZONE,1,0,,,,
MinorCivPseudoYields,PSEUDOYIELD_TOURISM,1,-200,,,,
GilgameshSciencePreference,YIELD_SCIENCE,1,10,,,,
FavorCulturalVictory,VICTORY_STRATEGY_CULTURAL_VICTORY,1,-1,,,,
FavorReligiousVictory,VICTORY_STRATEGY_RELIGIOUS_VICTORY,1,-1,,,,
ForbidReligiousVictory,VICTORY_STRATEGY_RELIGIOUS_VICTORY,1,5,,,,
FavorScienceVictory,VICTORY_STRATEGY_SCIENCE_VICTORY,1,-1,,,,
DefaultCitySettlement,SETTLEMENT_MIN_VALUE_NEEDED,1,30,,,,
DefaultCitySettlement,SETTLEMENT_ADDITIONAL_VALUE_PER_CITY,1,3,,,,
DefaultCitySettlement,SETTLEMENT_DECAY_TURNS,1,9,,,,
DefaultCitySettlement,SETTLEMENT_DECAY_AMOUNT,1,3,,,,
DefaultCitySettlement,SETTLEMENT_CITY_MINIMUM_VALUE,1,100,,,,
DefaultCitySettlement,SETTLEMENT_CITY_VALUE_MULTIPLIER,1,5,,,,
ExpansionistCitySettlement,SETTLEMENT_MIN_VALUE_NEEDED,1,-25,,,,
ExpansionistCitySettlement,SETTLEMENT_ADDITIONAL_VALUE_PER_CITY,1,-1,,,,
ExpansionistCitySettlement,SETTLEMENT_DECAY_TURNS,1,-3,,,,
ExpansionistCitySettlement,SETTLEMENT_DECAY_AMOUNT,1,3,,,,
ExpansionistCitySettlement,SETTLEMENT_CITY_MINIMUM_VALUE,1,50,,,,
ExpansionistCitySettlement,SETTLEMENT_CITY_VALUE_MULTIPLIER,1,1,,,,
BaseListTest,CIVIC_IMPERIALISM,1,0,,,,
BarbarossaWonders,BUILDING_RUHR_VALLEY,1,0,,,,
CatherineWonders,BUILDING_FORBIDDEN_CITY,1,0,,,,
CatherineWonders,BUILDING_POTALA_PALACE,1,0,,,,
CatherineWonders,BUILDING_MONT_ST_MICHEL,1,0,,,,
CatherineWonders,BUILDING_EIFFEL_TOWER,1,0,,,,
CleopatraWonders,BUILDING_PYRAMIDS,1,0,,,,
CleopatraWonders,BUILDING_GREAT_LIBRARY,1,0,,,,
CleopatraWonders,BUILDING_HANGING_GARDENS,1,0,,,,
CleopatraWonders,BUILDING_STONEHENGE,1,0,,,,
CleopatraWonders,BUILDING_PETRA,1,0,,,,
CleopatraWonders,BUILDING_MONT_ST_MICHEL,1,0,,,,
CleopatraWonders,BUILDING_BIG_BEN,1,0,,,,
CleopatraWonders,BUILDING_HERMITAGE,1,0,,,,
CleopatraWonders,BUILDING_RUHR_VALLEY,1,0,,,,
GandhiWonders,BUILDING_HANGING_GARDENS,1,0,,,,
GandhiWonders,BUILDING_MAHABODHI_TEMPLE,1,0,,,,
GandhiWonders,BUILDING_OXFORD_UNIVERSITY,1,0,,,,
GorgoWonders,BUILDING_TERRACOTTA_ARMY,1,0,,,,
HaraldWonders,BUILDING_GREAT_LIGHTHOUSE,1,0,,,,
HaraldWonders,BUILDING_VENETIAN_ARSENAL,1,0,,,,
HoJoWonders,BUILDING_VENETIAN_ARSENAL,1,0,,,,
MvembaWonders,BUILDING_HANGING_GARDENS,1,0,,,,
MvembaWonders,BUILDING_CHICHEN_ITZA,1,0,,,,
MvembaWonders,BUILDING_OXFORD_UNIVERSITY,1,0,,,,
MvembaWonders,BUILDING_HERMITAGE,1,0,,,,
MvembaWonders,BUILDING_BOLSHOI_THEATRE,1,0,,,,
MvembaWonders,BUILDING_BROADWAY,1,0,,,,
MvembaWonders,BUILDING_SYDNEY_OPERA_HOUSE,1,0,,,,
MvembaWonders,BUILDING_STONEHENGE,0,0,,,,
MvembaWonders,BUILDING_ORACLE,0,0,,,,
MvembaWonders,BUILDING_CRISTO_REDENTOR,0,0,,,,
PedroWonders,BUILDING_CHICHEN_ITZA,1,0,,,,
PedroWonders,BUILDING_ORACLE,1,0,,,,
PericlesWonders,BUILDING_POTALA_PALACE,1,0,,,,
PericlesEnvoys,PSEUDOYIELD_INFLUENCE,1,30,,,,
PeterWonders,BUILDING_COLOSSUS,1,0,,,,
PhilipWonders,BUILDING_COLOSSUS,1,0,,,,
PhilipWonders,BUILDING_GREAT_LIGHTHOUSE,1,0,,,,
PhilipWonders,BUILDING_HAGIA_SOPHIA,1,0,,,,
PhilipWonders,BUILDING_MAHABODHI_TEMPLE,1,0,,,,
PhilipForeignSettlement,Foreign Continent,0,60,,,,
QinWonders,BUILDING_HANGING_GARDENS,1,0,,,,
QinWonders,BUILDING_PYRAMIDS,1,0,,,,
QinWonders,BUILDING_GREAT_LIBRARY,1,0,,,,
QinWonders,BUILDING_GREAT_LIGHTHOUSE,1,0,,,,
QinWonders,BUILDING_COLOSSUS,1,0,,,,
QinWonders,BUILDING_FORBIDDEN_CITY,1,0,,,,
QinWonders,BUILDING_COLOSSEUM,1,0,,,,
QinWonders,BUILDING_TERRACOTTA_ARMY,1,0,,,,
RooseveltWonders,BUILDING_BROADWAY,1,0,,,,
SaladinWonders,BUILDING_HAGIA_SOPHIA,1,0,,,,
SaladinWonders,BUILDING_MAHABODHI_TEMPLE,1,0,,,,
SaladinWonders,BUILDING_MONT_ST_MICHEL,1,0,,,,
SaladinWonders,BUILDING_STONEHENGE,0,0,,,,
TrajanWonders,BUILDING_COLOSSEUM,1,0,,,,
TrajanWonders,BUILDING_COLOSSUS,1,0,,,,
TrajanWonders,BUILDING_GREAT_ZIMBABWE,1,0,,,,
TrajanWonders,BUILDING_ESTADIO_DO_MARACANA,1,0,,,,
VictoriaWonders,BUILDING_GREAT_LIGHTHOUSE,1,0,,,,
BarbarossaCivics,CIVIC_CRAFTSMANSHIP,1,0,,,,
BarbarossaCivics,CIVIC_FOREIGN_TRADE,1,0,,,,
BarbarossaCivics,CIVIC_STATE_WORKFORCE,1,0,,,,
BarbarossaCivics,CIVIC_EARLY_EMPIRE,1,0,,,,
BarbarossaCivics,CIVIC_GAMES_RECREATION,1,0,,,,
BarbarossaCivics,CIVIC_POLITICAL_PHILOSOPHY,1,0,,,,
BarbarossaCivics,CIVIC_DRAMA_POETRY,1,0,,,,
BarbarossaCivics,CIVIC_DEFENSIVE_TACTICS,1,0,,,,
BarbarossaCivics,CIVIC_RECORDED_HISTORY,1,0,,,,
BarbarossaCivics,CIVIC_FEUDALISM,1,0,,,,
BarbarossaCivics,CIVIC_CIVIL_SERVICE,1,0,,,,
BarbarossaCivics,CIVIC_MEDIEVAL_FAIRES,1,0,,,,
BarbarossaCivics,CIVIC_GUILDS,1,0,,,,
BarbarossaCivics,CIVIC_HUMANISM,1,0,,,,
BarbarossaCivics,CIVIC_DIPLOMATIC_SERVICE,1,0,,,,
BarbarossaCivics,CIVIC_MERCANTILISM,1,0,,,,
BarbarossaCivics,CIVIC_THE_ENLIGHTENMENT,1,0,,,,
BarbarossaCivics,CIVIC_CIVIL_ENGINEERING,1,0,,,,
BarbarossaCivics,CIVIC_NATIONALISM,1,0,,,,
BarbarossaCivics,CIVIC_URBANIZATION,1,0,,,,
BarbarossaCivics,CIVIC_MASS_MEDIA,1,0,,,,
BarbarossaCivics,CIVIC_MOBILIZATION,1,0,,,,
BarbarossaCivics,CIVIC_IDEOLOGY,1,0,,,,
CatherineCivics,CIVIC_STATE_WORKFORCE,1,0,,,,
CatherineCivics,CIVIC_DIVINE_RIGHT,1,0,,,,
CatherineCivics,CIVIC_HUMANISM,1,0,,,,
CatherineCivics,CIVIC_CIVIL_ENGINEERING,1,0,,,,
CleopatraCivics,CIVIC_CRAFTSMANSHIP,1,0,,,,
CleopatraCivics,CIVIC_FOREIGN_TRADE,1,0,,,,
CleopatraCivics,CIVIC_STATE_WORKFORCE,1,0,,,,
CleopatraCivics,CIVIC_NATURAL_HISTORY,1,0,,,,
GandhiCivics,CIVIC_THEOLOGY,1,0,,,,
GandhiCivics,CIVIC_CIVIL_SERVICE,1,0,,,,
GandhiCivics,CIVIC_HUMANISM,1,0,,,,
GandhiCivics,CIVIC_DIPLOMATIC_SERVICE,1,0,,,,
GorgoCivics,CIVIC_MILITARY_TRAINING,1,0,,,,
GorgoCivics,CIVIC_DIPLOMATIC_SERVICE,1,0,,,,
GorgoCivics,CIVIC_NATIONALISM,1,0,,,,
GorgoCivics,CIVIC_MOBILIZATION,1,0,,,,
HaraldCivics,CIVIC_MILITARY_TRAINING,1,0,,,,
HaraldCivics,CIVIC_THEOLOGY,1,0,,,,
HaraldCivics,CIVIC_MERCENARIES,1,0,,,,
HoJoCivics,CIVIC_DRAMA_POETRY,1,0,,,,
HoJoCivics,CIVIC_THEOLOGY,1,0,,,,
HoJoCivics,CIVIC_HUMANISM,1,0,,,,
MvembaCivics,CIVIC_DRAMA_POETRY,1,0,,,,
MvembaCivics,CIVIC_GUILDS,1,0,,,,
PedroCivics,CIVIC_MYSTICISM,1,0,,,,
PedroCivics,CIVIC_DRAMA_POETRY,1,0,,,,
PedroCivics,CIVIC_GAMES_RECREATION,1,0,,,,
PedroCivics,CIVIC_GUILDS,1,0,,,,
PedroCivics,CIVIC_HUMANISM,1,0,,,,
PedroCivics,CIVIC_NATIONALISM,1,0,,,,
PedroCivics,CIVIC_OPERA_BALLET,1,0,,,,
PedroCivics,CIVIC_CAPITALISM,1,0,,,,
PericlesCivics,CIVIC_MILITARY_TRAINING,1,0,,,,
PericlesCivics,CIVIC_POLITICAL_PHILOSOPHY,1,0,,,,
PericlesCivics,CIVIC_NAVAL_TRADITIION,1,0,,,,
PericlesCivics,CIVIC_MEDIEVAL_FAIRES,1,0,,,,
PericlesCivics,CIVIC_MERCENARIES,1,0,,,,
PeterCivics,CIVIC_FEUDALISM,1,0,,,,
PhilipCivics,CIVIC_EXPLORATION,1,0,,,,
PhilipCivics,CIVIC_COLONIALISM,1,0,,,,
PhilipCivics,CIVIC_CULTURAL_HERITAGE,1,0,,,,
QinCivics,CIVIC_STATE_WORKFORCE,1,0,,,,
QinCivics,CIVIC_DIVINE_RIGHT,1,0,,,,
QinCivics,CIVIC_CIVIL_ENGINEERING,1,0,,,,
RooseveltCivics,CIVIC_POLITICAL_PHILOSOPHY,1,0,,,,
RooseveltCivics,CIVIC_DIVINE_RIGHT,1,0,,,,
RooseveltCivics,CIVIC_CONSERVATION,1,0,,,,
RooseveltCivics,CIVIC_SUFFRAGE,1,0,,,,
SaladinCivics,CIVIC_THEOLOGY,1,0,,,,
SaladinCivics,CIVIC_REFORMED_CHURCH,1,0,,,,
TomyrisCivics,CIVIC_MILITARY_TRADITION,1,0,,,,
TomyrisCivics,CIVIC_GUILDS,1,0,,,,
TomyrisCivics,CIVIC_DIVINE_RIGHT,1,0,,,,
TomyrisCivics,CIVIC_CAPITALISM,1,0,,,,
TomyrisCivics,CIVIC_TOTALITARIANISM,1,0,,,,
TrajanCivics,CIVIC_CRAFTSMANSHIP,1,0,,,,
TrajanCivics,CIVIC_EARLY_EMPIRE,1,0,,,,
TrajanCivics,CIVIC_SCORCHED_EARTH,1,0,,,,
VictoriaCivics,CIVIC_EXPLORATION,1,0,,,,
VictoriaCivics,CIVIC_COLONIALISM,1,0,,,,
VictoriaCivics,CIVIC_MERCANTILISM,1,0,,,,
BarbarossaTechs,TECH_APPRENTICESHIP,1,0,,,,
BarbarossaTechs,TECH_ELECTRICITY,1,0,,,,
CatherineTechs,TECH_CASTLES,1,0,,,,
CatherineTechs,TECH_PRINTING,1,0,,,,
CatherineTechs,TECH_FLIGHT,1,0,,,,
CatherineTechs,TECH_COMPUTERS,1,0,,,,
CleopatraTechs,TECH_ANIMAL_HUSBANDRY,1,0,,,,
CleopatraTechs,TECH_FLIGHT,1,0,,,,
GandhiTechs,TECH_ASTROLOGY,1,0,,,,
GandhiTechs,TECH_IRRIGATION,1,0,,,,
GandhiTechs,TECH_HORSEBACK_RIDING,1,0,,,,
GandhiTechs,TECH_ELECTRICITY,1,0,,,,
GorgoTechs,TECH_BRONZE_WORKING,1,0,,,,
HaraldTechs,TECH_SAILING,1,0,,,,
HaraldTechs,TECH_ASTROLOGY,1,0,,,,
HaraldTechs,TECH_SHIPBUILDING,1,0,,,,
HaraldTechs,TECH_MILITARY_TACTICS,1,0,,,,
HoJoTechs,TECH_ASTROLOGY,1,0,,,,
HoJoTechs,TECH_BRONZE_WORKING,1,0,,,,
HoJoTechs,TECH_MILITARY_TACTICS,1,0,,,,
MvembaTechs,TECH_IRON_WORKING,1,0,,,,
MvembaTechs,TECH_CURRENCY,1,0,,,,
PedroTechs,TECH_ASTROLOGY,1,0,,,,
PedroTechs,TECH_CURRENCY,1,0,,,,
PericlesTechs,TECH_BRONZE_WORKING,1,0,,,,
PeterTechs,TECH_ANIMAL_HUSBANDRY,1,0,,,,
PeterTechs,TECH_ASTROLOGY,1,0,,,,
PeterTechs,TECH_MILITARY_SCIENCE,1,0,,,,
PhilipTechs,TECH_ANIMAL_HUSBANDRY,1,0,,,,
PhilipTechs,TECH_ASTROLOGY,1,0,,,,
PhilipTechs,TECH_CELESTIAL_NAVIGATION,1,0,,,,
PhilipTechs,TECH_CARTOGRAPHY,1,0,,,,
PhilipTechs,TECH_GUNPOWDER,1,0,,,,
QinTechs,TECH_MASONRY,1,0,,,,
QinTechs,TECH_CASTLES,1,0,,,,
QinTechs,TECH_FLIGHT,1,0,,,,
RooseveltTechs,TECH_RIFLING,1,0,,,,
RooseveltTechs,TECH_RADIO,1,0,,,,
SaladinTechs,TECH_STIRRUPS,1,0,,,,
TomyrisTechs,TECH_ANIMAL_HUSBANDRY,1,0,,,,
TomyrisTechs,TECH_HORSEBACK_RIDING,1,0,,,,
TrajanTechs,TECH_ANIMAL_HUSBANDRY,1,0,,,,
TrajanTechs,TECH_ENGINEERING,1,0,,,,
TrajanTechs,TECH_IRON_WORKING,1,0,,,,
TrajanTechs,TECH_MILITARY_ENGINEERING,1,0,,,,
TrajanTechs,TECH_INDUSTRIALIZATION,1,0,,,,
TrajanTechs,TECH_COMBUSTION,1,0,,,,
VictoriaTechs,TECH_CELESTIAL_NAVIGATION,1,0,,,,
VictoriaTechs,TECH_MILITARY_SCIENCE,1,0,,,,
GandhiUnitBuilds,PROMOTION_CLASS_INQUISITOR,1,-1,,,,
TomyrisiUnitBuilds,PROMOTION_CLASS_LIGHT_CAVALRY,1,1,,,,
CavalryLoverCitySettlement,Specific Resource,1,12,RESOURCE_HORSES,,,
DefaultCitySpecialization,BUILD_FOR_FOOD,1,0,,,,
DefaultCitySpecialization,BUILD_FOR_PRODUCTION,1,0,,,,
DefaultCitySpecialization,BUILD_FOR_GOLD,1,0,,,,
DefaultCitySpecialization,BUILD_FOR_SCIENCE,1,0,,,,
DefaultCitySpecialization,BUILD_FOR_CULTURE,1,0,,,,
DefaultCitySpecialization,BUILD_FOR_FAITH,1,0,,,,
DefaultCitySpecialization,BUILD_CITY_DEFENSES,1,-1,,,,
DefaultCitySpecialization,BUILD_MILITARY_UNITS,1,1,,,,
DefaultCitySpecialization,BUILD_TRADE_UNITS,1,2,,,,
DefaultTriggeredTrees,TRIGGER_TECH_UPGRADE,1,0,,,,
DefaultTriggeredTrees,TRIGGER_CIVIC_UPGRADE,1,0,,,,
DefaultTriggeredTrees,TRIGGER_CAPTURE_CIV,1,0,,,,
DefaultTriggeredTrees,TRIGGER_SETTLE_SPOT,1,0,,,,
DefaultTriggeredTrees,TRIGGER_AVAILABLE_ARCHAEOLOGIST,1,0,,,,
DefaultTriggeredTrees,TRIGGER_AVAILABLE_GREATPERSON,1,0,,,,
DefaultTriggeredTrees,TRIGGER_AVAILABLE_SPY,1,0,,,,
DefaultYieldBias,YIELD_PRODUCTION,1,25,,,,
DefaultYieldBias,YIELD_SCIENCE,1,10,,,,
DefaultYieldBias,YIELD_CULTURE,1,10,,,,
DefaultYieldBias,YIELD_GOLD,1,20,,,,
DefaultYieldBias,YIELD_FAITH,1,-25,,,,
DefaultCityBuilds,CITY_EVENT_DEFAULT,1,0,Simple City Tree,,,
DefaultCityBuilds,CITY_EVENT_UNIT_OR_BUILDING,1,0,Build City Building,,,
DefaultCityBuilds,CITY_EVENT_DISTRICT,1,0,Build City District,,,
DefaultCityBuilds,CITY_EVENT_IMPROVEMENT,1,0,Build City Improvement,,,
DefaultCityBuilds,CITY_EVENT_WONDER,1,0,Seek Target Wonder,,,
DefaultCityBuilds,CITY_UNDER_THREAT,1,0,City Defense,,,
MinorCivUnitBuilds,PROMOTION_CLASS_RECON,1,-100,,,,
MinorCivUnitBuilds,PROMOTION_CLASS_NAVAL_CARRIER,1,-100,,,,
MinorCivCityBuilds,CITY_EVENT_DEFAULT,1,0,Simple City Tree,,,
MinorCivCityBuilds,CITY_EVENT_UNIT_OR_BUILDING,1,0,Build City Building,,,
MinorCivCityBuilds,CITY_EVENT_IMPROVEMENT,1,0,Build City Improvement,,,
MinorCivCityBuilds,CITY_EVENT_DISTRICT,1,0,Build City District,,,
MinorCivCityBuilds,CITY_UNDER_THREAT,1,0,City Defense,,,
MinorCivTriggeredTrees,TRIGGER_TECH_UPGRADE,1,0,,,,
MinorCivTriggeredTrees,TRIGGER_CIVIC_UPGRADE,1,0,,,,
DefaultSavings,SAVING_PLOTS,1,1,,,,
DefaultSavings,SAVING_UNITS,1,4,,,,
DefaultSavings,SAVING_GREAT_PEOPLE,1,1,,,,
DefaultSavings,SAVING_SLUSH_FUND,1,3,,,,
DefaultScoutUse,DEFAULT_LAND_SCOUTS,1,100,,,,
DefaultScoutUse,DEFAULT_NAVAL_SCOUTS,1,100,,,,
