RowId,SectionId,SQL,PageIdColumn,PageGroupIdColumn,PageLayoutIdColumn,NameColumn,TooltipColumn,TextKeyPrefixColumn,SortIndexColumn,SortIndex
20,IMPROVEMENTS,"SELECT ImprovementType as PageId, ""Improvements"" as PageGroupId, ""Improvement"" as PageLayoutId, Name, null as Tooltip FROM Improvements Where BarbarianCamp = 0 and Goody = 0",PageId,PageGroupId,PageLayoutId,Name,Tooltip,,,10
21,IMPROVEMENTS,"SELECT RouteType as PageId, ""Routes"" as PageGroupId, ""Route"" as PageLayoutId, Name, null as Tooltip FROM Routes",PageId,PageGroupId,PageLayoutId,Name,Tooltip,,,10
22,CIVILIZATIONS,"SELECT CivilizationType as PageId, ""CIVILIZATIONS"" as PageGroupId, ""Civilization"" as PageLayoutId, Name, null as Tooltip FROM Civilizations where StartingCivilizationLevelType = ""CIVILIZATION_LEVEL_FULL_CIV""",PageId,PageGroupId,PageLayoutId,Name,Tooltip,,,10
23,CIVILIZATIONS,"SELECT distinct Leaders.LeaderType AS PageId, ""LEADERS"" AS PageGroupId, ""Leader"" AS PageLayoutId, Leaders.Name, null AS Tooltip, ""LOC_PEDIA_LEADERS_PAGE"" as TextKeyPrefix FROM Leaders INNER JOIN CivilizationLeaders on CivilizationLeaders.LeaderType = Leaders.LeaderType INNER JOIN Civilizations ON CivilizationLeaders.CivilizationType = Civilizations.CivilizationType WHERE Civilizations.StartingCivilizationLevelType = ""CIVILIZATION_LEVEL_FULL_CIV""",PageId,PageGroupId,PageLayoutId,Name,Tooltip,TextKeyPrefix,,10
24,GOVERNMENTS,"SELECT GovernmentType as PageId, ""Government"" as PageGroupId, ""Government"" as PageLayoutId, Name, null as Tooltip FROM Governments",PageId,PageGroupId,PageLayoutId,Name,Tooltip,,,10
25,GOVERNMENTS,"SELECT Policies.PolicyType as PageId, GovernmentSlotType as PageGroupId, ""Policy"" as PageLayoutId, Name, null as Tooltip FROM Policies LEFT OUTER JOIN Policies_XP1 on Policies.PolicyType = Policies_XP1.PolicyType WHERE Policies_XP1.RequiresDarkAge IS NULL or Policies_XP1.RequiresDarkAge <> 1",PageId,PageGroupId,PageLayoutId,Name,Tooltip,,,10
26,GOVERNMENTS,"SELECT Policies.PolicyType as PageId, ""DARK_POLICIES"" as PageGroupId, ""Policy"" as PageLayoutId, Name, null as Tooltip FROM Policies LEFT OUTER JOIN Policies_XP1 on Policies.PolicyType = Policies_XP1.PolicyType WHERE Policies_XP1.RequiresDarkAge = 1",PageId,PageGroupId,PageLayoutId,Name,Tooltip,,,10
27,GOVERNORS,"SELECT GovernorType as PageId, ""GOVERNORS"" as PageGroupId, 'Governor' as PageLayoutId, printf(""{%s} ({%s})"", Name, ShortTitle) as Name, null as Tooltip FROM Governors",PageId,PageGroupId,PageLayoutId,Name,Tooltip,,,10
28,GOVERNORS,"SELECT GovernorPromotionType as PageId, GovernorType as PageGroupId, 'GovernorPromotion' as PageLayoutId, Name, null as Tooltip, Level as SortIndex FROM GovernorPromotions inner join GovernorPromotionSets on GovernorPromotions.GovernorPromotionType = GovernorPromotionSets.GovernorPromotion",PageId,PageGroupId,PageLayoutId,Name,Tooltip,,SortIndex,10
29,MOMENTS,"SELECT MomentType AS PageId, ""MAJOR"" AS PageGroupId, 'HistoricMoment' AS PageLayoutId, Name, null AS Tooltip FROM Moments WHERE InterestLevel >= 2",PageId,PageGroupId,PageLayoutId,Name,Tooltip,,,10
30,MOMENTS,"SELECT MomentType AS PageId, ""MINOR"" AS PageGroupId, 'HistoricMoment' AS PageLayoutId, Name, null AS Tooltip FROM Moments WHERE InterestLevel < 2",PageId,PageGroupId,PageLayoutId,Name,Tooltip,,,10
31,UNITS,"SELECT UnitType as PageId, FormationClass as PageGroupId, ""Unit"" as PageLayoutId, Name, null as Tooltip FROM Units u WHERE NOT EXISTS (SELECT UnitType From HeroClasses where UnitType = u.UnitType) AND TraitType is null or TraitType <> ""TRAIT_BARBARIAN""",PageId,PageGroupId,PageLayoutId,Name,Tooltip,,,10
32,UNITS,"SELECT Units.UnitType as PageId, ""Heroes"" as PageGroupId, ""HeroUnit"" as PageLayoutId, Units.Name, HeroClasses.HeroClassType as HeroClass, null as Tooltip FROM Units INNER JOIN HeroClasses ON Units.UnitType=HeroClasses.UnitType WHERE Units.TraitType is null or Units.TraitType <> ""TRAIT_BARBARIAN""",PageId,PageGroupId,PageLayoutId,Name,Tooltip,,,10
