GreatPersonIndividualType,ModifierId,AttachmentTargetType
GREAT_PERSON_INDIVIDUAL_BOUDICA,GREATPERSON_BOUDICA_ACTIVE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_UNIT_GREATPERSON
GREAT_PERSON_INDIVIDUAL_HANNIBAL_BARCA,GREATPERSON_HANNIBAL_BARCA_ACTIVE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_UNIT_DOMAIN_MILITARY_IN_TILE
GREAT_PERSON_INDIVIDUAL_EL_CID,GREATPERSON_EL_CID_ACTIVE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_UNIT_DOMAIN_MILITARY_IN_TILE
GREAT_PERSON_INDIVIDUAL_GUSTAVUS_ADOLPHUS,GREATPERSON_GUSTAVUS_ADOLPHUS_ACTIVE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_UNIT_GREATPERSON
GREAT_PERSON_INDIVIDUAL_JOAN_OF_ARC,GREATPERSON_JOAN_OF_ARC_ACTIVE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_PLAYER
GREAT_PERSON_INDIVIDUAL_ANA_NZINGA,GREATPERSON_ANA_NZINGA_ACTIVE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_PLAYER
GREAT_PERSON_INDIVIDUAL_NAPOLEON_BONAPARTE,GREATPERSON_NAPOLEON_BONAPARTE_ACTIVE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_UNIT_DOMAIN_MILITARY_IN_TILE
GREAT_PERSON_INDIVIDUAL_RANI_LAKSHMIBAI,GREATPERSON_RANI_LAKSHMIBAI_ACTIVE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_UNIT_GREATPERSON
GREAT_PERSON_INDIVIDUAL_JOHN_MONASH,GREATPERSON_JOHN_MONASH_ACTIVE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_UNIT_DOMAIN_MILITARY_IN_TILE
GREAT_PERSON_INDIVIDUAL_JOHN_MONASH,GREATPERSON_JOHN_MONASH_ACTIVE_UNIT_BONUS,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_UNIT_DOMAIN_MILITARY_IN_TILE
GREAT_PERSON_INDIVIDUAL_MARINA_RASKOVA,GREATPERSON_MARINA_RASKOVA_ACTIVE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_DWIGHT_EISENHOWER,GREATPERSON_DWIGHT_EISENHOWER_ACTIVE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_PLAYER
GREAT_PERSON_INDIVIDUAL_GEORGY_ZHUKOV,GREATPERSON_GEORGY_ZHUKOV_ACTIVE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_PLAYER
GREAT_PERSON_INDIVIDUAL_DOUGLAS_MACARTHUR,GREATPERSON_DOUGLAS_MACARTHUR_ACTIVE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_UNIT_GREATPERSON
GREAT_PERSON_INDIVIDUAL_AHMAD_SHAH_MASSOUD,GREATPERSON_AHMAD_SHAH_MASSOUD_ACTIVE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_UNIT_GREATPERSON
GREAT_PERSON_INDIVIDUAL_VIJAYA_WIMALARATNE,GREATPERSON_VIJAYA_WIMALARATNE_ACTIVE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_UNIT_DOMAIN_MILITARY_IN_TILE
GREAT_PERSON_INDIVIDUAL_VIJAYA_WIMALARATNE,GREATPERSON_VIJAYA_WIMALARATNE_ACTIVE_UNIT_BONUS,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_UNIT_DOMAIN_MILITARY_IN_TILE
GREAT_PERSON_INDIVIDUAL_COLAEUS,GREATPERSON_GRANT_PLOT_RESOURCE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_UNIT_GREATPERSON
GREAT_PERSON_INDIVIDUAL_COLAEUS,GREATPERSON_FAITH_SMALL,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_UNIT_GREATPERSON
GREAT_PERSON_INDIVIDUAL_MARCUS_LICINIUS_CRASSUS,GREATPERSON_GRANT_PLOT,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_UNIT_GREATPERSON
GREAT_PERSON_INDIVIDUAL_MARCUS_LICINIUS_CRASSUS,GREATPERSON_GOLD_TINY,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_UNIT_GREATPERSON
GREAT_PERSON_INDIVIDUAL_ZHANG_QIAN,GREATPERSON_GOLD_TO_INCOMING_FOREIGN_ROUTES,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_ZHANG_QIAN,GREATPERSON_GOLD_FROM_INCOMING_FOREIGN_ROUTES,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_ZHANG_QIAN,GREATPERSON_EXTRA_TRADE_ROUTE_CAPACITY,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_MARCO_POLO,GREATPERSON_GOLD_TO_INCOMING_FOREIGN_ROUTES,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_MARCO_POLO,GREATPERSON_GOLD_FROM_INCOMING_FOREIGN_ROUTES,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_MARCO_POLO,GREATPERSON_FREE_TRADER_UNIT,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_MARCO_POLO,GREATPERSON_EXTRA_TRADE_ROUTE_CAPACITY,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_PIERO_DE_BARDI,GREATPERSON_GOLD_SMALL,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_PIERO_DE_BARDI,GREATPERSON_INFLUENCE_TOKENS_SMALL,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_GIOVANNI_DE_MEDICI,GREATPERSON_MARKET,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_GIOVANNI_DE_MEDICI,GREATPERSON_BANK,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_GIOVANNI_DE_MEDICI,GREATPERSON_BANK_GREAT_WORK_SLOTS,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_JAKOB_FUGGER,GREATPERSON_GOLD_SMALL,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_JAKOB_FUGGER,GREATPERSON_INFLUENCE_TOKENS_MEDIUM,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_RAJA_TODAR_MAL,GREATPERSON_INFLUENCE_TOKENS_SMALL,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_RAJA_TODAR_MAL,GREATPERSON_DOMESTIC_ROUTE_GOLD_PER_SPECIALTY_DISTRICT,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_JOHN_SPILSBURY,GREATPERSON_GRANT_TOYS,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_JOHN_JACOB_ASTOR,GREATPERSON_GOLD_LARGE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_JOHN_JACOB_ASTOR,GREATPERSON_INFLUENCE_TOKENS_MEDIUM,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_MARY_KATHERINE_GODDARD,GREATPERSON_DIPLO_VISIBILITY,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_JOHN_ROCKEFELLER,GREATPERSON_DOMESTIC_ROUTE_GOLD_PER_STRATEGIC,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_JOHN_ROCKEFELLER,GREATPERSON_INTERNATIONAL_ROUTE_GOLD_PER_STRATEGIC,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_SARAH_BREEDLOVE,GREATPERSON_TRADE_ROUTE_TOURISM_MODIFIER,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_HELENA_RUBINSTEIN,GREATPERSON_GRANT_COSMETICS,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_MELITTA_BENTZ,GREATPERSON_TRADE_ROUTE_TOURISM_MODIFIER,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_MELITTA_BENTZ,GREATPERSON_EXTRA_TRADE_ROUTE_CAPACITY,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_LEVI_STRAUSS,GREATPERSON_GRANT_JEANS,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_ESTEE_LAUDER,GREATPERSON_GRANT_PERFUME,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_MASARU_IBUKA,GREATPERSON_INDUSTRIAL_ZONE_TOURISM,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_JAMSETJI_TATA,GREATPERSON_CAMPUS_TOURISM,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_ARYABHATA,GREATPERSON_3CLASSICALMEDIEVALTECHBOOSTS,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_EUCLID,GREATPERSON_1MEDIEVALTECHBOOST,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_EUCLID,GREATPERSON_MATHTECHBOOST,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_HYPATIA,GREATPERSON_LIBRARY,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_HYPATIA,GREATPERSON_LIBRARIES_SCIENCE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_ABU_AL_QASIM_AL_ZAHRAWI,GREATPERSON_1MEDIEVALRENAISSANCETECHBOOST,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_PLAYER
GREAT_PERSON_INDIVIDUAL_ABU_AL_QASIM_AL_ZAHRAWI,GREATPERSON_ABU_AL_QASIM_AL_ZAHRAWI_ACTIVE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_PLAYER
GREAT_PERSON_INDIVIDUAL_HILDEGARD_OF_BINGEN,GREATPERSON_HOLY_SITE_ADJACENCY_AS_SCIENCE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_HILDEGARD_OF_BINGEN,GREATPERSON_FAITH,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_OMAR_KHAYYAM,GREATPERSON_2MEDIEVALRENAISSANCETECHBOOSTS,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_OMAR_KHAYYAM,GREATPERSON_1MEDIEVALRENAISSANCECIVICBOOST,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_GALILEO_GALILEI,GREATPERSON_ADJACENT_GRASSMOUNTAIN_SCIENCE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_UNIT_GREATPERSON
GREAT_PERSON_INDIVIDUAL_GALILEO_GALILEI,GREATPERSON_ADJACENT_PLAINSMOUNTAIN_SCIENCE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_UNIT_GREATPERSON
GREAT_PERSON_INDIVIDUAL_GALILEO_GALILEI,GREATPERSON_ADJACENT_DESERTMOUNTAIN_SCIENCE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_UNIT_GREATPERSON
GREAT_PERSON_INDIVIDUAL_GALILEO_GALILEI,GREATPERSON_ADJACENT_TUNDRAMOUNTAIN_SCIENCE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_UNIT_GREATPERSON
GREAT_PERSON_INDIVIDUAL_GALILEO_GALILEI,GREATPERSON_ADJACENT_SNOWMOUNTAIN_SCIENCE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_UNIT_GREATPERSON
GREAT_PERSON_INDIVIDUAL_ISAAC_NEWTON,GREATPERSON_LIBRARY,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_ISAAC_NEWTON,GREATPERSON_UNIVERSITY,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_ISAAC_NEWTON,GREATPERSON_UNIVERSITIES_SMALL_SCIENCE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_EMILIE_DU_CHATELET,GREATPERSON_3RENAISSANCEINDUSTRIALTECHBOOSTS,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_JAMES_YOUNG,GREATPERSON_REVEAL_OIL,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_JAMES_YOUNG,GREATPERSON_2INDUSTRIALMODERNTECHBOOSTS,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_CHARLES_DARWIN,GREATPERSON_ADJACENT_NATURALWONDER_SCIENCE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_UNIT_GREATPERSON
GREAT_PERSON_INDIVIDUAL_DMITRI_MENDELEEV,GREATPERSON_1INDUSTRIALTECHBOOST,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_DMITRI_MENDELEEV,GREATPERSON_CHEMISTRYTECHBOOST,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_ALAN_TURING,GREATPERSON_1MODERNTECHBOOST,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_ALAN_TURING,GREATPERSON_COMPUTERSTECHBOOST,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_ALBERT_EINSTEIN,GREATPERSON_RESEARCHLABS_BIG_SCIENCE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_ALBERT_EINSTEIN,GREATPERSON_1MODERNATOMICTECHBOOST,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_ALFRED_NOBEL,GREATPERSON_1MODERNATOMICTECHBOOST,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_ALFRED_NOBEL,GREATPERSON_GREAT_PERSON_FREE_POINTS,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_JANAKI_AMMAL,GREATPERSON_ADJACENT_RAINFOREST_SCIENCE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_UNIT_GREATPERSON
GREAT_PERSON_INDIVIDUAL_MARY_LEAKEY,GREATPERSON_ARTIFACT_TOURISM_MODIFIER,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_MARY_LEAKEY,GREATPERSON_ARTIFACT_SCIENCE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_ERWIN_SCHRODINGER,GREATPERSON_3ATOMICINFORMATIONTECHBOOSTS,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_ABDUS_SALAM,GREATPERSON_ALLINFORMATIONTECHBOOSTS,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_CARL_SAGAN,GREATPERSON_GRANT_PRODUCTION_IN_CITY_LATE_SPACE_RACE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_STEPHANIE_KWOLEK,GREATPERSON_SPACE_RACE_PRODUCTION_RATE_LARGE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
