UnitType,ResourceMaintenanceAmount,ResourceCost,ResourceMaintenanceType,TourismBomb,CanEarnExperience,TourismBombPossible,CanFormMilitaryFormation,MajorCivOnly,CanCauseDisasters,CanSacrificeUnits
UNIT_MAORI_TOA,0,5,,0,1,0,1,0,0,0
UNIT_SULEIMAN_JANISSARY,0,10,,0,1,0,1,0,0,0
UNIT_COMANDANTE_GENERAL,0,0,,0,0,0,0,0,0,0
UNIT_COLOMBIAN_LLANERO,0,20,,0,1,0,1,0,0,0
UNIT_BYZANTINE_TAGMA,0,10,,0,1,0,1,0,0,0
UNIT_ETHIOPIAN_OROMO_CAVALRY,0,10,,0,1,0,1,0,0,0
UNIT_HERO_ANANSI,0,0,,0,0,0,0,0,0,0
UNIT_HERO_ARTHUR,0,0,,0,0,0,0,0,0,0
UNIT_HERO_BEOWULF,0,0,,0,0,0,0,0,0,0
UNIT_HERO_HERCULES,0,0,,0,0,0,0,0,0,0
UNIT_HERO_HIMIKO,0,0,,0,0,0,0,0,0,0
UNIT_HERO_HIPPOLYTA,0,0,,0,0,0,0,0,0,0
UNIT_HERO_HUNAHPU,0,0,,0,0,0,0,0,0,0
UNIT_HERO_OYA,0,0,,0,0,0,0,0,0,0
UNIT_HERO_MAUI,0,0,,0,0,0,0,0,0,0
UNIT_HERO_MULAN,0,0,,0,0,0,0,0,0,0
UNIT_HERO_SINBAD,0,0,,0,0,0,0,0,0,0
UNIT_HERO_WUKONG,0,0,,0,0,0,0,0,0,0
UNIT_QUESTING_KNIGHT,0,0,,0,0,0,0,0,0,0
