UnitPromotionType,ModifierId
PROMOTION_SQUARE,SQUARE_BONUS_SUPPORT_BONUS_MODIFIER
PROMOTION_SCHILTRON,SCHILTRON_DEFENSE_BONUS_VS_MELEE
PROMOTION_REDEPLOY,REDEPLOY_BONUS_MOVEMENT
PROMOTION_CHOKE_POINTS,CHOKE_POINTS_BONUS
PROMOTION_HOLD_THE_LINE,HOLD_THE_LINE_BONUS
PROMOTION_CAPARISON,CAPARISON_BONUS_VS_ANTI_CAVALRY
PROMOTION_COURSERS,COURSERS_BONUS_VS_RANGED_SIEGE
PROMOTION_DEPREDATION,DEPREDATION_BONUS_ADVANCED_PILLAGING
PROMOTION_DOUBLE_ENVELOPMENT,DOUBLE_ENVELOPMENT_BONUS_FLANKING_BONUS_MODIFIER
PROMOTION_SPIKING_THE_GUNS,SPIKING_THE_GUNS_BONUS_VS_SIEGE
PROMOTION_PURSUIT,PURSUIT_BONUS_MOVEMENT
PROMOTION_ESCORT_MOBILITY,ESCORT_MOBILITY_SHARED_MOVEMENT
PROMOTION_SHRAPNEL,SHRAPNEL_BONUS_VS_UNITS
PROMOTION_ADVANCED_RANGEFINDING,ADVANCED_RANGEFINDING_BONUS_VS_NAVAL
PROMOTION_GRAPE_SHOT,GRAPE_SHOT_BONUS_VS_UNITS
PROMOTION_CREW_WEAPONS,CREW_WEAPONS_DEFENSE_BONUS
PROMOTION_SHELLS,SHELLS_BONUS_VS_DISTRICTS
PROMOTION_EXPERT_CREW,EXPERT_CREW_BONUS_ATTACK_AFTER_MOVING
PROMOTION_FORWARD_OBSERVERS,FORWARD_OBSERVERS_BONUS_RANGE
PROMOTION_CHARGE,CHARGE_BONUS_VS_FORTIFIED
PROMOTION_BARDING,TOP_COVER_DEFENSE_BONUS_VS_RANGED
PROMOTION_MARAUDING,URBAN_RAIDER_BONUS
PROMOTION_ROUT,VULTURE_BONUS_VS_DAMAGED
PROMOTION_ARMOR_PIERCING,ARMOR_PIERCING_BONUS_VS_HEAVY_CAVALRY
PROMOTION_REACTIVE_ARMOR,REACTIVE_ARMOR_BONUS
PROMOTION_BREAKTHROUGH,BREAKTHROUGH_ADDITIONAL_ATTACK
PROMOTION_BREAKTHROUGH,MOD_MOVE_AFTER_ATTACKING
PROMOTION_DOGFIGHTING,DOGFIGHTING_BONUS_VS_FIGHTERS
PROMOTION_COCKPIT_ARMOR,COCKPIT_ARMOR_BONUS_VS_ANTIAIR
PROMOTION_INTERCEPTOR,INTERCEPTOR_BONUS_VS_BOMBERS
PROMOTION_STRAFE,STRAFE_BONUS_VS_NONCAVALRY
PROMOTION_GROUND_CREWS,GROUND_CREWS_BONUS_HEALTH
PROMOTION_TANK_BUSTER,TANK_BUSTER_BONUS_VS_CAVALRY
PROMOTION_DROP_TANKS,LONG_RANGE_ESCORT_BONUS_RANGE
PROMOTION_BOX_FORMATION,BOX_FORMATION_DEFENSE_BONUS_VS_FIGHTERS
PROMOTION_EVASIVE_MANEUVERS,EVASIVE_MANEUVERS_BONUS_VS_ANTIAIR
PROMOTION_TORPEDO_BOMBER,TORPEDO_BOMBER_BONUS_VS_NAVAL
PROMOTION_CLOSE_AIR_SUPPORT,CLOSE_AIR_SUPPORT_BONUS_VS_LAND
PROMOTION_TACTICAL_MAINTENANCE,TACTICAL_MAINTENANCE_HEAL_AFTER_ACTION
PROMOTION_LONG_RANGE,LONG_RANGE_BONUS_RANGE
PROMOTION_SUPERFORTRESS,SUPERFORTRESS_BONUS_ADVANCED_PILLAGING
PROMOTION_EMBOLON,EMBOLON_BONUS_VS_NAVAL
PROMOTION_HELMSMAN,HELMSMAN_BONUS_WATER_MOVEMENT
PROMOTION_REINFORCED_HULL,REINFORCED_HULL_BONUS_VS_RANGED
PROMOTION_RUTTER,RUTTER_SIGHT_BONUS
PROMOTION_AUXILIARY_SHIPS,AUXILIARY_SHIPS_NEUTRAL_TERRITORY_HEAL
PROMOTION_AUXILIARY_SHIPS,AUXILIARY_SHIPS_ENEMY_TERRITORY_HEAL
PROMOTION_CONVOY,CONVOY_BONUS_IN_FORMATION
PROMOTION_CREEPING_ATTACK,CREEPING_ATTACK_BONUS_VS_RAIDERS
PROMOTION_LINE_OF_BATTLE,LINE_OF_BATTLE_BONUS_VS_NAVAL
PROMOTION_BOMBARDMENT,BOMBARDMENT_BONUS_VS_DISTRICT_DEFENSES
PROMOTION_PREPARATORY_FIRE,PREPARATORY_FIRE_BONUS_VS_LAND
PROMOTION_ROLLING_BARRAGE,ROLLING_BARRAGE_BONUS_VS_DISTRICT_DEFENSES
PROMOTION_SUPPLY_FLEET,SUPPLY_FLEET_NEUTRAL_TERRITORY_HEAL
PROMOTION_SUPPLY_FLEET,SUPPLY_FLEET_ENEMY_TERRITORY_HEAL
PROMOTION_PROXIMITY_FUSES,PROMOTION_PROXIMITY_FUSES_DEFENSE_BONUS_VS_AIR
PROMOTION_COINCIDENCE_RANGEFINDING,COINCIDENCE_RANGEFINDING_BONUS_RANGE
PROMOTION_FLIGHT_DECK,FLIGHT_DECK_BONUS_AIRCRAFT_SLOT
PROMOTION_HANGAR_DECK,HANGAR_DECK_BONUS_AIRCRAFT_SLOT
PROMOTION_FOLDING_WINGS,FOLDING_WINGS_BONUS_AIRCRAFT_SLOT
PROMOTION_SCOUT_PLANES,SCOUT_PLANES_BONUS_SIGHT
PROMOTION_ADVANCED_ENGINES,ADVANCED_ENGINES_BONUS_MOVEMENT
PROMOTION_DECK_CREWS,DECK_CREWS_HEAL_AFTER_ACTION
PROMOTION_SUPER_CARRIER,SUPER_CARRIER_NEUTRAL_TERRITORY_HEAL
PROMOTION_SUPER_CARRIER,SUPER_CARRIER_ENEMY_TERRITORY_HEAL
PROMOTION_LOOT,LOOT_GOLD_FROM_COASTAL_RAID
PROMOTION_BOARDING,BOARDING_GOLD_FROM_NAVAL_VICTORY
PROMOTION_SWIFT_KEEL,SWIFT_KEEL_BONUS_MOVEMENT
PROMOTION_OBSERVATION,OBSERVATION_INCREASED_SIGHT_RANGE
PROMOTION_HOMING_TORPEDOES,HOMING_TORPEDOES_BONUS_VS_NAVAL
PROMOTION_SILENT_RUNNING,SILENT_RUNNING_MOVE_AFTER_ATTACKING
PROMOTION_WOLFPACK,WOLFPACK_ADDITIONAL_ATTACK
PROMOTION_ORATOR,APOSTLE_EXTRA_SPREAD_CHARGES
PROMOTION_PROSELYTIZER,APOSTLE_EVICT_ALL
PROMOTION_TRANSLATOR,APOSTLE_FOREIGN_SPREAD
PROMOTION_PILGRIM,APOSTLE_NW_DEFERRED_CHARGES
PROMOTION_INDULGENCE_VENDOR,APOSTLE_INITIATION_GOLD
PROMOTION_HEATHEN_CONVERSION,APOSTLE_BARBARIAN_CONVERSION
PROMOTION_DEBATER,APOSTLE_DEBATER
PROMOTION_MARTYR,APOSTLE_MARTYR
PROMOTION_CHAPLAIN,APOSTLE_CHAPLAIN
PROMOTION_MONK_SHADOW_STRIKE,DOUBLE_ENVELOPMENT_BONUS_FLANKING_BONUS_MODIFIER
PROMOTION_MONK_TWILIGHT_VEIL,CAMOUFLAGE_STEALTH
PROMOTION_MONK_EXPLODING_PALMS,EXPLODING_PALMS_INCREASED_COMBAT_STRENGTH
PROMOTION_MONK_DISCIPLES,DISCIPLES_LAND_VICTORY_SPREAD
PROMOTION_MONK_SWEEPING_WIND,SWEEPING_WIND_ADDITIONAL_ATTACK
PROMOTION_MONK_SWEEPING_WIND,MOD_MOVE_AFTER_ATTACKING
PROMOTION_MONK_DANCING_CRANE,DANCING_CRANE_BONUS_MOVEMENT
PROMOTION_MONK_COBRA_STRIKE,COBRA_STRIKE_INCREASED_COMBAT_STRENGTH
PROMOTION_SPY_TECHNOLOGIST,SPY_TECHNOLOGIST
PROMOTION_SPY_CAT_BURGLAR,SPY_CAT_BURGLAR
PROMOTION_SPY_DEMOLITIONS,SPY_DEMOLITIONS
PROMOTION_SPY_CON_ARTIST,SPY_CON_ARTIST
PROMOTION_SPY_GUERILLA_LEADER,SPY_GUERILLA_LEADER
PROMOTION_SPY_ROCKET_SCIENTIST,SPY_ROCKET_SCIENTIST
PROMOTION_SPY_DISGUISE,SPY_DISGUISE
PROMOTION_SPY_LINGUIST,SPY_LINGUIST_ROCKETRYTIME
PROMOTION_SPY_LINGUIST,SPY_LINGUIST_SOURCESTIME
PROMOTION_SPY_LINGUIST,SPY_LINGUIST_HEISTTIME
PROMOTION_SPY_LINGUIST,SPY_LINGUIST_PARTISANSTIME
PROMOTION_SPY_LINGUIST,SPY_LINGUIST_SABOTAGETIME
PROMOTION_SPY_LINGUIST,SPY_LINGUIST_SIPHONTIME
PROMOTION_SPY_LINGUIST,SPY_LINGUIST_STEALTECHTIME
PROMOTION_SPY_SEDUCTION,SPY_SEDUCTION_ROCKETRY
PROMOTION_SPY_SEDUCTION,SPY_SEDUCTION_HEIST
PROMOTION_SPY_SEDUCTION,SPY_SEDUCTION_PARTISAN
PROMOTION_SPY_SEDUCTION,SPY_SEDUCTION_SABOTAGE
PROMOTION_SPY_SEDUCTION,SPY_SEDUCTION_SIPHON
PROMOTION_SPY_SEDUCTION,SPY_SEDUCTION_STEALTECH
PROMOTION_SPY_QUARTERMASTER,SPY_QUARTERMASTER
PROMOTION_SPY_ACE_DRIVER,SPY_ACE_DRIVER
PROMOTION_SPACE_ROCK,ROCKBAND_SPACE_ROCK_SEOWON
PROMOTION_SPACE_ROCK,ROCKBAND_SPACE_ROCK_SEOWON_MODIFIER
PROMOTION_SPY_SMEAR_CAMPAIGN,SPY_SMEAR_CAMPAIGN
PROMOTION_SPY_COVERT_ACTION,SPY_COVERT_ACTION
PROMOTION_SPY_LICENSE_TO_KILL,SPY_LICENSE_TO_KILL
PROMOTION_ALBUM_COVER_ART,ROCKBAND_ALBUM_COVER_ART
PROMOTION_ARENA_ROCK,ROCKBAND_ARENA_ROCK
PROMOTION_ARENA_ROCK,ROCKBAND_ARENA_ROCK_CARNIVAL
PROMOTION_GLAM_ROCK,ROCKBAND_GLAM_ROCK
PROMOTION_GLAM_ROCK,ROCKBAND_GLAM_ROCK_ACROPOLIS
PROMOTION_GOES_TO,ROCKBAND_GOES_TO
PROMOTION_INDIE,ROCKBAND_INDIE
PROMOTION_MUSIC_FESTIVAL,ROCKBAND_MUSIC_FESTIVAL_TOURISM_BOMB
PROMOTION_MUSIC_FESTIVAL,ROCKBAND_MUSIC_FESTIVAL_LEVEL
PROMOTION_MUSIC_FESTIVAL,ROCKBAND_MUSIC_FESTIVAL_TOURISM_BOMB_NATURAL_WONDER
PROMOTION_MUSIC_FESTIVAL,ROCKBAND_MUSIC_FESTIVAL_LEVEL_NATURAL_WONDER
PROMOTION_POP,ROCKBAND_POP
PROMOTION_REGGAE_ROCK,ROCKBAND_REGGAE_ROCK
PROMOTION_REGGAE_ROCK,ROCKBAND_REGGAE_ROCK_CARNIVAL
PROMOTION_RELIGIOUS_ROCK,ROCKBAND_RELIGIOUS_ROCK
PROMOTION_ROADIES,ROCKBAND_ROADIES
PROMOTION_SPACE_ROCK,ROCKBAND_SPACE_ROCK_TOURISM_BOMB
PROMOTION_SPACE_ROCK,ROCKBAND_SPACE_ROCK_LEVEL
PROMOTION_SPACE_ROCK,ROCKBAND_SPACE_ROCK_CAMPUS
PROMOTION_SPACE_ROCK,ROCKBAND_SPACE_ROCK_CAMPUS_MODIFIER
PROMOTION_SURF_ROCK,ROCKBAND_SURF_ROCK_TOURISM_BOMB
PROMOTION_SURF_ROCK,ROCKBAND_SURF_ROCK_LEVEL
PROMOTION_SURF_ROCK,ROCKBAND_SURF_ROCK_HARBOR
PROMOTION_SURF_ROCK,ROCKBAND_SURF_ROCK_HARBOR_MODIFIER
PROMOTION_SURF_ROCK,ROCKBAND_SURF_ROCK_ROYAL_NAVY_DOCKYARD
PROMOTION_SURF_ROCK,ROCKBAND_SURF_ROCK_ROYAL_NAVY_DOCKYARD_MODIFIER
PROMOTION_SPY_SATCHEL_CHARGES,SPY_SATCHEL_CHARGES
PROMOTION_SPY_SURVEILLANCE,SPY_SURVEILLANCE_ENTIRE_CITY
PROMOTION_SPY_SURVEILLANCE,SPY_SURVEILLANCE_ADJACENT_LEVEL
PROMOTION_SPY_POLYGRAPH,SPY_POLYGRAPH
PROMOTION_GDR_AA_DEFENSE,GDR_AA_DEFENSE
PROMOTION_GDR_SIEGE_LASER,GDR_SIEGE_LASER
PROMOTION_GDR_SIEGE_LASER,GDR_SIEGE_LASER_RANGE_STR
PROMOTION_GDR_BONUS_MOVEMENT,GDR_BONUS_MOVEMENT
PROMOTION_GDR_BONUS_MOVEMENT,GDR_JUMP_ABILITY
PROMOTION_GDR_ARMOR_UPGRADE,GDR_ARMOR_DEFENSES
PROMOTION_SURF_ROCK,ROCKBAND_SURF_ROCK_COTHON
PROMOTION_SURF_ROCK,ROCKBAND_SURF_ROCK_COTHON_MODIFIER
PROMOTION_NIHANG_FLANKED_BONUS,NIHANG_FLANKED_BONUS
PROMOTION_NIHANG_FAITH_FOR_VICTORIES,NIHANG_FAITH_FOR_VICTORIES
PROMOTION_NIHANG_MOVEMENT_BONUS,NIHANG_MOVEMENT_BONUS
PROMOTION_NIHANG_NO_WOUNDED_PENALTY,NIHANG_NO_WOUNDED_PENALTY
PROMOTION_NIHANG_SUZERAIN_COMBAT_BONUS,NIHANG_SUZERAIN_COMBAT_BONUS
PROMOTION_SPACE_ROCK,ROCKBAND_SPACE_ROCK_OBSERVATORY
PROMOTION_SPACE_ROCK,ROCKBAND_SPACE_ROCK_OBSERVATORY_MODIFIER
PROMOTION_ARENA_ROCK,ROCKBAND_ARENA_ROCK_HIPPODROME
