ModifierID,EmergencyType,OnSuccess,Description,FirstPlace,TopTier,BottomTier
NUCLEAR_EMERGENCY_TARGET_CULTURAL_IDENTITY_REWARD,EMERGENCY_NUCLEAR,0,LOC_EMERGENCY_TARGET_REWARD_DESCRIPTION_NUCLEAR_CULTURE_SCARE,0,0,0
BACKSTAB_EMERGENCY_MEMBER_COMBAT_STRENGTH_ATTACK_REWARD,EMERGENCY_BACKSTAB,1,LOC_EMERGENCY_MEMBER_REWARD_DESCRIPTION_MILITARY_COMBAT_STRENGTH,0,0,0
BACKSTAB_EMERGENCY_MEMBER_COMBAT_STRENGTH_DEFEND_REWARD,EMERGENCY_BACKSTAB,1,,0,0,0
BACKSTAB_EMERGENCY_TARGET_WAR_WEARINESS_REWARD,EMERGENCY_BACKSTAB,0,LOC_EMERGENCY_TARGET_REWARD_DESCRIPTION_MILITARY_WAR_WEARINESS,0,0,0
NON_EMERGENCY_FIRST_PLACE_VICTORY_POINT,EMERGENCY_NOBEL_PRIZE_PEACE,1,LOC_EMERGENCY_REWARD_SINGLE_FIRST_PLACE_VICTORY_POINT_DESCRIPTION,1,0,0
NON_EMERGENCY_FIRST_PLACE_VICTORY_POINT,EMERGENCY_WORLDS_FAIR,1,LOC_EMERGENCY_REWARD_SINGLE_FIRST_PLACE_VICTORY_POINT_DESCRIPTION,1,0,0
NON_EMERGENCY_FIRST_PLACE_VICTORY_POINT,EMERGENCY_SPACE_STATION,1,LOC_EMERGENCY_REWARD_SINGLE_FIRST_PLACE_VICTORY_POINT_DESCRIPTION,1,0,0
NON_EMERGENCY_FIRST_PLACE_VICTORY_POINT,EMERGENCY_WORLD_GAMES,1,LOC_EMERGENCY_REWARD_SINGLE_FIRST_PLACE_VICTORY_POINT_DESCRIPTION,1,0,0
AID_REQUEST_FIRST_PLACE_VICTORY_POINT,EMERGENCY_SEND_AID,1,LOC_EMERGENCY_REWARD_AID_REQUEST_FIRST_PLACE_VICTORY_POINT_DESCRIPTION,1,0,0
AID_REQUEST_FIRST_PLACE_VICTORY_POINT,EMERGENCY_SEND_MILITARY_AID,1,LOC_EMERGENCY_REWARD_AID_REQUEST_FIRST_PLACE_VICTORY_POINT_DESCRIPTION,1,0,0
CLIMATE_ACCORDS_FIRST_PLACE_VICTORY_POINT,EMERGENCY_CLIMATE_ACCORDS,1,LOC_EMERGENCY_REWARD_AID_REQUEST_FIRST_PLACE_VICTORY_POINT_DESCRIPTION,1,0,0
AID_REQUEST_TOP_TIER_FAVOR,EMERGENCY_SEND_AID,1,LOC_EMERGENCY_REWARD_AID_REQUEST_TOP_TIER_FAVOR_DESCRIPTION,0,1,0
AID_REQUEST_BOTTOM_TIER_FAVOR,EMERGENCY_SEND_AID,1,LOC_EMERGENCY_REWARD_AID_REQUEST_BOTTOM_TIER_FAVOR_DESCRIPTION,0,0,1
AID_REQUEST_TOP_TIER_FAVOR,EMERGENCY_SEND_MILITARY_AID,1,LOC_EMERGENCY_REWARD_AID_REQUEST_TOP_TIER_FAVOR_DESCRIPTION,0,1,0
AID_REQUEST_BOTTOM_TIER_FAVOR,EMERGENCY_SEND_MILITARY_AID,1,LOC_EMERGENCY_REWARD_AID_REQUEST_BOTTOM_TIER_FAVOR_DESCRIPTION,0,0,1
WORLD_FAIR_FIRST_PLACE_GREAT_PERSON_POINTS,EMERGENCY_WORLDS_FAIR,1,LOC_EMERGENCY_REWARD_WORLD_FAIR_FIRST_PLACE_GREAT_PERSON_POINTS_DESCRIPTION,1,0,0
WORLD_FAIR_TOP_TIER_FAVOR,EMERGENCY_WORLDS_FAIR,1,LOC_EMERGENCY_REWARD_WORLD_FAIR_TOP_TIER_FAVOR_DESCRIPTION,0,1,0
WORLD_FAIR_TOP_TIER_CULTURE,EMERGENCY_WORLDS_FAIR,1,LOC_EMERGENCY_REWARD_WORLD_FAIR_TOP_TIER_CULTURE_DESCRIPTION,0,1,0
WORLD_FAIR_BOTTOM_TIER_CULTURE,EMERGENCY_WORLDS_FAIR,1,LOC_EMERGENCY_REWARD_WORLD_FAIR_BOTTOM_TIER_CULTURE_DESCRIPTION,0,0,1
WORLD_GAMES_FIRST_PLACE_CAMPUS_TOURISM,EMERGENCY_WORLD_GAMES,1,LOC_EMERGENCY_REWARD_WORLD_GAMES_FIRST_PLACE_CAMPUS_TOURISM_DESCRIPTION,1,0,0
WORLD_GAMES_TOP_TIER_FAVOR,EMERGENCY_WORLD_GAMES,1,LOC_EMERGENCY_REWARD_WORLD_GAMES_TOP_TIER_FAVOR_DESCRIPTION,0,1,0
WORLD_GAMES_TOP_TIER_STADIUMS_TOURISM,EMERGENCY_WORLD_GAMES,1,LOC_EMERGENCY_REWARD_WORLD_GAMES_TOP_TIER_STADIUMS_TOURISM_DESCRIPTION,0,1,0
WORLD_GAMES_TOP_TIER_AQUATIC_CENTERS_TOURISM,EMERGENCY_WORLD_GAMES,1,LOC_EMERGENCY_REWARD_WORLD_GAMES_TOP_TIER_AQUATIC_CENTERS_TOURISM_DESCRIPTION,0,1,0
WORLD_GAMES_BOTTOM_TIER_STADIUMS_TOURISM,EMERGENCY_WORLD_GAMES,1,LOC_EMERGENCY_REWARD_WORLD_GAMES_BOTTOM_TIER_STADIUMS_TOURISM_DESCRIPTION,0,0,1
WORLD_GAMES_BOTTOM_TIER_AQUATIC_CENTERS_TOURISM,EMERGENCY_WORLD_GAMES,1,LOC_EMERGENCY_REWARD_WORLD_GAMES_BOTTOM_TIER_AQUATIC_CENTERS_TOURISM_DESCRIPTION,0,0,1
ISS_FIRST_PLACE_SPACESHIP_SPEED_ATTACH_MODIFIER,EMERGENCY_SPACE_STATION,1,LOC_EMERGENCY_REWARD_ISS_FIRST_PLACE_SPACESHIP_SPEED_DESCRIPTION,1,0,0
ISS_TOP_TIER_FAVOR,EMERGENCY_SPACE_STATION,1,LOC_EMERGENCY_REWARD_ISS_TOP_TIER_FAVOR_DESCRIPTION,0,1,0
ISS_TOP_TIER_SPACE_RACE_PRODUCTION,EMERGENCY_SPACE_STATION,1,LOC_EMERGENCY_REWARD_ISS_TOP_TIER_SPACE_RACE_PRODUCTION_DESCRIPTION,0,1,0
ISS_BOTTOM_TIER_SPACE_RACE_PRODUCTION,EMERGENCY_SPACE_STATION,1,LOC_EMERGENCY_REWARD_ISS_BOTTOM_TIER_SPACE_RACE_PRODUCTION_DESCRIPTION,0,0,1
CLIMATE_ACCORDS_TOP_TIER_FAVOR,EMERGENCY_CLIMATE_ACCORDS,1,LOC_EMERGENCY_REWARD_CLIMATE_ACCORDS_TOP_TIER_FAVOR_DESCRIPTION,0,1,0
CLIMATE_ACCORDS_BOTTOM_TIER_FAVOR,EMERGENCY_CLIMATE_ACCORDS,1,LOC_EMERGENCY_REWARD_CLIMATE_ACCORDS_BOTTOM_TIER_FAVOR_DESCRIPTION,0,0,1
NOBEL_PRIZE_LIT_FIRST_PLACE_ROCK_BAND_CHEAPER,EMERGENCY_NOBEL_PRIZE_LITERATURE,1,LOC_EMERGENCY_REWARD_NOBEL_PRIZE_LIT_FIRST_PLACE_ROCK_BAND_CHEAPER_DESCRIPTION,1,0,0
NOBEL_PRIZE_LIT_FIRST_PLACE_ROCK_BAND_BUFF,EMERGENCY_NOBEL_PRIZE_LITERATURE,1,LOC_EMERGENCY_REWARD_NOBEL_PRIZE_LIT_FIRST_PLACE_ROCK_BAND_BUFF_DESCRIPTION,1,0,0
NOBEL_PRIZE_LIT_TOP_TIER_ROCK_BAND_BUFF,EMERGENCY_NOBEL_PRIZE_LITERATURE,1,LOC_EMERGENCY_REWARD_NOBEL_PRIZE_LIT_TOP_TIER_ROCK_BAND_BUFF_DESCRIPTION,0,1,0
NOBEL_PRIZE_LIT_BOTTOM_TIER_ROCK_BAND_BUFF,EMERGENCY_NOBEL_PRIZE_LITERATURE,1,LOC_EMERGENCY_REWARD_NOBEL_PRIZE_LIT_BOTTOM_TIER_ROCK_BAND_BUFF_DESCRIPTION,0,0,1
NOBEL_PRIZE_PHY_FIRST_PLACE_TECH_BOOST,EMERGENCY_NOBEL_PRIZE_PHYSICS,1,LOC_EMERGENCY_REWARD_NOBEL_PRIZE_PHY_FIRST_PLACE_TECH_BOOST_DESCRIPTION,1,0,0
NOBEL_PRIZE_PHY_FIRST_PLACE_UNIVERSITY_RESOURCES,EMERGENCY_NOBEL_PRIZE_PHYSICS,1,LOC_EMERGENCY_REWARD_NOBEL_PRIZE_PHY_FIRST_PLACE_UNIVERSITY_RESOURCES_DESCRIPTION,1,0,0
NOBEL_PRIZE_PHY_TOP_TIER_TECH_BOOST,EMERGENCY_NOBEL_PRIZE_PHYSICS,1,LOC_EMERGENCY_REWARD_NOBEL_PRIZE_PHY_TOP_TIER_TECH_BOOST_DESCRIPTION,0,1,0
NOBEL_PRIZE_PHY_TOP_TIER_RESEARCH_LAB_RESOURCES,EMERGENCY_NOBEL_PRIZE_PHYSICS,1,LOC_EMERGENCY_REWARD_NOBEL_PRIZE_PHY_TOP_TIER_UNIVERSITY_RESOURCES_DESCRIPTION,0,1,0
NOBEL_PRIZE_PHY_BOTTOM_TIER_TECH_BOOST,EMERGENCY_NOBEL_PRIZE_PHYSICS,1,LOC_EMERGENCY_REWARD_NOBEL_PRIZE_PHY_BOTTOM_TIER_TECH_BOOST_DESCRIPTION,0,0,1
NOBEL_PRIZE_PEACE_FIRST_PLACE_GREAT_MUSICIAN,EMERGENCY_NOBEL_PRIZE_PEACE,1,LOC_EMERGENCY_REWARD_NOBEL_PRIZE_PEACE_FIRST_PLACE_GREAT_MUSICIAN_DESCRIPTION,1,0,0
NOBEL_PRIZE_PEACE_FIRST_PLACE_GREAT_SCIENTIST,EMERGENCY_NOBEL_PRIZE_PEACE,1,LOC_EMERGENCY_REWARD_NOBEL_PRIZE_PEACE_FIRST_PLACE_GREAT_SCIENTIST_DESCRIPTION,1,0,0
NOBEL_PRIZE_PEACE_TOP_TIER_GREAT_ENGINEER,EMERGENCY_NOBEL_PRIZE_PEACE,1,LOC_EMERGENCY_REWARD_NOBEL_PRIZE_PEACE_TOP_TIER_GREAT_ENGINEER_DESCRIPTION,0,1,0
NOBEL_PRIZE_PEACE_TOP_TIER_GREAT_ARTIST,EMERGENCY_NOBEL_PRIZE_PEACE,1,LOC_EMERGENCY_REWARD_NOBEL_PRIZE_PEACE_TOP_TIER_GREAT_ARTIST_DESCRIPTION,0,1,0
NOBEL_PRIZE_PEACE_BOTTOM_TIER_GREAT_ARTIST,EMERGENCY_NOBEL_PRIZE_PEACE,1,LOC_EMERGENCY_REWARD_NOBEL_PRIZE_PEACE_BOTTOM_TIER_GREAT_ARTIST_DESCRIPTION,0,0,1
HOSTILE_EMERGENCY_GRANT_FAVOR_TO_MEMBERS,EMERGENCY_MILITARY,1,LOC_EMERGENCY_REWARD_MEMBERS_GAIN_FAVOR_DESCRIPTION,0,0,0
HOSTILE_EMERGENCY_GRANT_FAVOR_TO_MEMBERS,EMERGENCY_CAPTURE_CITY_STATE,1,LOC_EMERGENCY_REWARD_MEMBERS_GAIN_FAVOR_DESCRIPTION,0,0,0
HOSTILE_EMERGENCY_GRANT_FAVOR_TO_MEMBERS,EMERGENCY_RELIGIOUS,1,LOC_EMERGENCY_REWARD_MEMBERS_GAIN_FAVOR_DESCRIPTION,0,0,0
HOSTILE_EMERGENCY_GRANT_FAVOR_TO_MEMBERS,EMERGENCY_NUCLEAR,1,LOC_EMERGENCY_REWARD_MEMBERS_GAIN_FAVOR_DESCRIPTION,0,0,0
HOSTILE_EMERGENCY_GRANT_FAVOR_TO_MEMBERS,EMERGENCY_BACKSTAB,1,LOC_EMERGENCY_REWARD_MEMBERS_GAIN_FAVOR_DESCRIPTION,0,0,0
HOSTILE_EMERGENCY_GRANT_FAVOR_TO_TARGET,EMERGENCY_MILITARY,0,LOC_EMERGENCY_REWARD_TARGET_GAINS_FAVOR_DESCRIPTION,0,0,0
HOSTILE_EMERGENCY_GRANT_FAVOR_TO_TARGET,EMERGENCY_CAPTURE_CITY_STATE,0,LOC_EMERGENCY_REWARD_TARGET_GAINS_FAVOR_DESCRIPTION,0,0,0
HOSTILE_EMERGENCY_GRANT_FAVOR_TO_TARGET,EMERGENCY_RELIGIOUS,0,LOC_EMERGENCY_REWARD_TARGET_GAINS_FAVOR_DESCRIPTION,0,0,0
HOSTILE_EMERGENCY_GRANT_FAVOR_TO_TARGET,EMERGENCY_NUCLEAR,0,LOC_EMERGENCY_REWARD_TARGET_GAINS_FAVOR_DESCRIPTION,0,0,0
HOSTILE_EMERGENCY_GRANT_FAVOR_TO_TARGET,EMERGENCY_BACKSTAB,0,LOC_EMERGENCY_REWARD_TARGET_GAINS_FAVOR_DESCRIPTION,0,0,0
