FeatureType,Name,Description,Quote,Coast,NoCoast,NoRiver,NoAdjacentFeatures,RequiresRiver,MovementChange,SightThroughModifier,Impassable,NaturalWonder,RemoveTech,Removable,AddCivic,DefenseModifier,AddsFreshWater,Appeal,MinDistanceLand,MaxDistanceLand,NotNearFeature,Lake,Tiles,Adjacent,NoResource,DoubleAdjacentTerrainYield,NotCliff,MinDistanceNW,CustomPlacement,Forest,AntiquityPriority,QuoteAudio,Settlement,FollowRulesInWB,DangerValue
FEATURE_GIANTS_CAUSEWAY,LOC_FEATURE_GIANTS_CAUSEWAY_NAME,LOC_FEATURE_GIANTS_CAUSEWAY_DESCRIPTION,LOC_FEATURE_GIANTS_CAUSEWAY_QUOTE,0,0,1,0,0,0,0,1,1,,0,,0,0,2,0,0,0,0,2,1,0,0,0,8,PLACEMENT_GIANTS_CAUSEWAY,0,0,Play_GIANTS_CAUSEWAY_QUOTE,0,0,0
FEATURE_ULURU,LOC_FEATURE_ULURU_NAME,LOC_FEATURE_ULURU_DESCRIPTION,LOC_FEATURE_ULURU_QUOTE,0,1,1,0,0,0,1,1,1,,0,,0,0,4,0,0,0,0,1,1,0,0,0,8,,0,0,PLAY_ULURU_QUOTE,0,0,0
FEATURE_DELICATE_ARCH,LOC_FEATURE_DELICATE_ARCH_NAME,LOC_FEATURE_DELICATE_ARCH_DESCRIPTION,LOC_FEATURE_DELICATE_ARCH_QUOTE,0,1,1,0,0,0,1,1,1,,0,,0,0,2,0,0,0,0,1,1,0,0,0,8,,0,0,PLAY_DELICATE_ARCH_QUOTE,0,0,0
FEATURE_EYE_OF_THE_SAHARA,LOC_FEATURE_EYE_OF_THE_SAHARA_NAME,LOC_FEATURE_EYE_OF_THE_SAHARA_XP2_DESCRIPTION,LOC_FEATURE_EYE_OF_THE_SAHARA_QUOTE,0,1,1,0,0,0,0,0,1,,0,,0,0,2,0,0,0,0,3,1,0,0,0,8,,0,0,PLAY_EYE_OF_THE_SAHARA_QUOTE,0,0,0
FEATURE_LAKE_RETBA,LOC_FEATURE_LAKE_RETBA_NAME,LOC_FEATURE_LAKE_RETBA_DESCRIPTION,LOC_FEATURE_LAKE_RETBA_QUOTE,0,1,1,0,0,0,0,0,1,,0,,0,0,2,0,0,0,1,2,1,0,0,0,8,,0,0,PLAY_LAKE_RETBA_QUOTE,0,0,0
FEATURE_MATTERHORN,LOC_FEATURE_MATTERHORN_NAME,LOC_FEATURE_MATTERHORN_DESCRIPTION,LOC_FEATURE_MATTERHORN_QUOTE,0,1,1,0,0,0,2,1,1,,0,,0,0,2,0,0,0,0,1,1,0,0,0,8,,0,0,PLAY_MATTERHORN_QUOTE,0,0,0
FEATURE_RORAIMA,LOC_FEATURE_RORAIMA_NAME,LOC_FEATURE_RORAIMA_DESCRIPTION,LOC_FEATURE_RORAIMA_QUOTE,0,1,1,0,0,0,2,1,1,,0,,0,0,2,0,0,0,0,4,1,0,0,0,8,PLACEMENT_RORAIMA,0,0,PLAY_MOUNT_RORAIMA_QUOTE,0,0,0
FEATURE_UBSUNUR_HOLLOW,LOC_FEATURE_UBSUNUR_HOLLOW_NAME,LOC_FEATURE_UBSUNUR_HOLLOW_DESCRIPTION,LOC_FEATURE_UBSUNUR_HOLLOW_QUOTE,0,1,1,0,0,1,0,0,1,,0,,-2,0,2,0,0,0,0,4,1,0,0,0,8,,0,0,PLAY_UBSUNUR_HOLLOW_QUOTE,0,0,0
FEATURE_ZHANGYE_DANXIA,LOC_FEATURE_ZHANGYE_DANXIA_NAME,LOC_FEATURE_ZHANGYE_DANXIA_DESCRIPTION,LOC_FEATURE_ZHANGYE_DANXIA_QUOTE,0,1,1,0,0,0,2,1,1,,0,,0,0,2,0,0,0,0,3,1,0,0,0,8,PLACEMENT_ZHANGYE_DANXIA,0,0,PLAY_ZHANGYE_DANXIA_QUOTE,0,0,0
FEATURE_REEF,LOC_FEATURE_REEF_NAME,,,0,0,1,0,0,0,0,0,0,,0,,3,0,0,0,0,0,0,1,1,0,0,0,-1,,0,0,,1,1,0
FEATURE_FLOODPLAINS_GRASSLAND,LOC_FEATURE_FLOODPLAINS_GRASSLAND_NAME,LOC_FEATURE_FLOODPLAINS_GRASSLAND_DESCRIPTION,,0,0,0,0,1,0,0,0,0,,0,,-2,0,-1,0,0,0,0,1,1,0,0,0,-1,,0,1,,1,1,0
FEATURE_FLOODPLAINS_PLAINS,LOC_FEATURE_FLOODPLAINS_PLAINS_NAME,LOC_FEATURE_FLOODPLAINS_PLAINS_DESCRIPTION,,0,0,0,0,1,0,0,0,0,,0,,-2,0,-1,0,0,0,0,1,1,0,0,0,-1,,0,1,,1,1,0
FEATURE_GEOTHERMAL_FISSURE,LOC_FEATURE_GEOTHERMAL_FISSURE_NAME,LOC_FEATURE_GEOTHERMAL_FISSURE_DESCRIPTION,,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,1,1,0,0,0,-1,,0,1,,1,1,0
FEATURE_VOLCANO,LOC_FEATURE_VOLCANO_NAME,LOC_FEATURE_VOLCANO_DESCRIPTION,,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,1,1,0,0,0,-1,,0,0,,1,1,0
FEATURE_VOLCANIC_SOIL,LOC_FEATURE_VOLCANIC_SOIL_NAME,LOC_FEATURE_VOLCANIC_SOIL_DESCRIPTION,,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,1,1,0,0,0,-1,,0,1,,1,1,0
FEATURE_CHOCOLATEHILLS,LOC_FEATURE_CHOCOLATEHILLS_NAME,LOC_FEATURE_CHOCOLATEHILLS_DESCRIPTION,LOC_FEATURE_CHOCOLATEHILLS_QUOTE,0,1,1,0,0,1,1,0,1,,0,,3,0,2,0,0,0,0,4,1,0,0,0,8,,0,0,PLAY_LOC_FEATURE_CHOCOLATEHILLS_QUOTE,0,0,0
FEATURE_DEVILSTOWER,LOC_FEATURE_DEVILSTOWER_NAME,LOC_FEATURE_DEVILSTOWER_DESCRIPTION,LOC_FEATURE_DEVILSTOWER_QUOTE,0,1,1,0,0,0,2,1,1,,0,,0,0,2,0,0,0,0,1,1,0,0,0,8,,0,0,PLAY_LOC_FEATURE_DEVILSTOWER_QUOTE,0,0,0
FEATURE_GOBUSTAN,LOC_FEATURE_GOBUSTAN_NAME,LOC_FEATURE_GOBUSTAN_DESCRIPTION,LOC_FEATURE_GOBUSTAN_QUOTE,0,1,1,0,0,1,1,0,1,,0,,3,0,2,0,0,0,0,3,1,0,0,0,8,,0,0,PLAY_LOC_FEATURE_GOBUSTAN_QUOTE,0,0,0
FEATURE_IKKIL,LOC_FEATURE_IKKIL_NAME,LOC_FEATURE_IKKIL_DESCRIPTION,LOC_FEATURE_IKKIL_QUOTE,0,1,1,0,0,0,0,1,1,,0,,0,1,2,0,0,0,0,1,1,0,0,0,8,,0,0,PLAY_LOC_FEATURE_IKKIL_QUOTE,0,0,0
FEATURE_PAMUKKALE,LOC_FEATURE_PAMUKKALE_NAME,LOC_FEATURE_PAMUKKALE_DESCRIPTION,LOC_FEATURE_PAMUKKALE_QUOTE,0,1,1,0,0,0,1,1,1,,0,,0,1,2,0,0,0,0,2,1,0,0,0,8,,0,0,PLAY_LOC_FEATURE_PAMUKKALE_QUOTE,0,0,0
FEATURE_VESUVIUS,LOC_FEATURE_VESUVIUS_NAME,LOC_FEATURE_VESUVIUS_DESCRIPTION,LOC_FEATURE_VESUVIUS_QUOTE,0,0,1,0,0,0,2,1,1,,0,,0,0,2,0,0,0,0,1,1,0,0,0,8,,0,0,PLAY_LOC_FEATURE_VESUVIUS_QUOTE,0,0,0
FEATURE_WHITEDESERT,LOC_FEATURE_WHITEDESERT_NAME,LOC_FEATURE_WHITEDESERT_DESCRIPTION,LOC_FEATURE_WHITEDESERT_QUOTE,0,1,1,0,0,0,0,0,1,,0,,0,0,2,0,0,0,0,4,1,0,0,0,8,,0,0,PLAY_LOC_FEATURE_WHITEDESERT_QUOTE,0,0,0
FEATURE_BERMUDA_TRIANGLE,LOC_FEATURE_BERMUDA_TRIANGLE_NAME,LOC_FEATURE_BERMUDA_TRIANGLE_DESCRIPTION,LOC_FEATURE_BERMUDA_TRIANGLE_QUOTE,0,1,1,0,0,0,0,0,1,,0,,0,0,2,0,0,0,0,3,1,0,0,0,8,,0,0,PLAY_BERMUDA_TRIANGLE_QUOTE_2,0,0,10
FEATURE_FOUNTAIN_OF_YOUTH,LOC_FEATURE_FOUNTAIN_OF_YOUTH_NAME,LOC_FEATURE_FOUNTAIN_OF_YOUTH_DESCRIPTION,LOC_FEATURE_FOUNTAIN_OF_YOUTH_QUOTE,0,1,1,0,0,0,0,0,1,,0,,0,1,2,0,0,0,0,1,1,0,0,0,8,,0,0,PLAY_FOUNTAIN_OF_YOUTH_QUOTE_1,0,0,0
FEATURE_PAITITI,LOC_FEATURE_PAITITI_NAME,LOC_FEATURE_PAITITI_DESCRIPTION,LOC_FEATURE_PAITITI_QUOTE,0,1,1,0,0,0,0,1,1,,0,,0,0,2,0,0,0,0,3,1,0,0,0,8,PLACEMENT_PAITITI,0,0,PLAY_PAITITI_QUOTE_1,0,0,0
FEATURE_BURNING_FOREST,LOC_FEATURE_BURNING_FOREST_NAME,LOC_FEATURE_BURNING_FOREST_DESCRIPTION,,0,0,0,0,0,1,1,0,0,,0,,3,0,-1,0,0,0,0,1,1,0,0,0,-1,,0,1,,0,1,80
FEATURE_BURNT_FOREST,LOC_FEATURE_BURNT_FOREST_NAME,LOC_FEATURE_BURNT_FOREST_DESCRIPTION,,0,0,0,0,0,1,1,0,0,,0,,3,0,-1,0,0,0,0,1,1,0,0,0,-1,,0,1,,0,1,0
FEATURE_BURNING_JUNGLE,LOC_FEATURE_BURNING_JUNGLE_NAME,LOC_FEATURE_BURNING_JUNGLE_DESCRIPTION,,0,0,0,0,0,1,1,0,0,,0,,3,0,-1,0,0,0,0,1,1,0,0,0,-1,,0,1,,0,1,80
FEATURE_BURNT_JUNGLE,LOC_FEATURE_BURNT_JUNGLE_NAME,LOC_FEATURE_BURNT_JUNGLE_DESCRIPTION,,0,0,0,0,0,1,1,0,0,,0,,3,0,-1,0,0,0,0,1,1,0,0,0,-1,,0,1,,0,1,0
