OperationType,Description,Help,DisabledHelp,Icon,Sound,VisibleInUI,HoldCycling,CategoryInUI,InterfaceMode,PrereqTech,PrereqCivic,Turns,BaseProbability,LevelProbChange,EnemyProbChange,EnemyLevelProbChange,TargetDistrict,HotkeyId,Offensive
UNITOPERATION_REMOVE_FEATURE,LOC_UNITOPERATION_REMOVE_FEATURE_DESCRIPTION,,,ICON_UNITOPERATION_REMOVE_FEATURE,,1,1,BUILD,,,,0,0,0,0,0,,,0
UNITOPERATION_REMOVE_HERESY,LOC_UNITOPERATION_REMOVE_HERESY_DESCRIPTION,,,ICON_UNITOPERATION_SPREAD_RELIGION,,1,1,SPECIFIC,,,,0,0,0,0,0,,,0
UNITOPERATION_REMOVE_IMPROVEMENT,LOC_UNITOPERATION_REMOVE_IMPROVEMENT_DESCRIPTION,,,ICON_UNITOPERATION_REMOVE_IMPROVEMENT,,1,1,BUILD,,,,0,0,0,0,0,,,0
UNITOPERATION_REPAIR,LOC_UNITOPERATION_REPAIR_DESCRIPTION,,,ICON_UNITOPERATION_REPAIR,,1,1,SPECIFIC,,,,0,0,0,0,0,,,0
UNITOPERATION_REPAIR_ROUTE,LOC_UNITOPERATION_REPAIR_ROUTE_DESCRIPTION,,,ICON_UNITOPERATION_REPAIR_ROUTE,,1,1,SPECIFIC,,,,0,0,0,0,0,,,0
UNITOPERATION_REST_REPAIR,LOC_UNITOPERATION_REST_REPAIR_DESCRIPTION,,,ICON_UNITOPERATION_HEAL,UNIT_FORTIFY,1,0,INPLACE,,,,0,0,0,0,0,,,0
UNITOPERATION_RETRAIN,LOC_UNITOPERATION_RETRAIN_DESCRIPTION,,,ICON_UNITOPERATION_RETRAIN,,1,0,SPECIFIC,,,,0,0,0,0,0,,,0
UNITOPERATION_ROUTE_TO,LOC_UNITOPERATION_ROUTE_TO_DESCRIPTION,,,ICON_UNITOPERATION_ROUTE_TO,,0,0,MOVE,,,,0,0,0,0,0,,,0
UNITOPERATION_SKIP_TURN,LOC_UNITOPERATION_SKIP_TURN_DESCRIPTION,,,ICON_UNITOPERATION_SKIP_TURN,,1,0,INPLACE,,,,0,0,0,0,0,,SkipTurn,0
UNITOPERATION_SLEEP,LOC_UNITOPERATION_SLEEP_DESCRIPTION,,,ICON_UNITOPERATION_SLEEP,,1,0,INPLACE,,,,0,0,0,0,0,,Sleep,0
UNITOPERATION_SPREAD_RELIGION,LOC_UNITOPERATION_SPREAD_RELIGION_DESCRIPTION,,,ICON_UNITOPERATION_SPREAD_RELIGION,,1,1,SPECIFIC,,,,0,0,0,0,0,,,0
UNITOPERATION_SPY_COUNTERSPY,LOC_UNITOPERATION_SPY_COUNTERSPY_DESCRIPTION,,,ICON_UNITOPERATION_SPY_COUNTERSPY,,1,1,MOVE,INTERFACEMODE_SPY_CHOOSE_MISSION,,,16,0,0,0,0,,,0
UNITOPERATION_SPY_DISRUPT_ROCKETRY,LOC_UNITOPERATION_SPY_DISRUPT_ROCKETRY_DESCRIPTION,,,ICON_UNITOPERATION_SPY_DISRUPT_ROCKETRY,,1,1,OFFENSIVESPY,INTERFACEMODE_SPY_CHOOSE_MISSION,,,8,15,1,3,1,DISTRICT_SPACEPORT,,1
UNITOPERATION_SPY_GAIN_SOURCES,LOC_UNITOPERATION_SPY_GAIN_SOURCES_DESCRIPTION,,,ICON_UNITOPERATION_SPY_GAIN_SOURCES,,1,1,OFFENSIVESPY,INTERFACEMODE_SPY_CHOOSE_MISSION,,,8,0,0,0,0,,,1
UNITOPERATION_SPY_GREAT_WORK_HEIST,LOC_UNITOPERATION_SPY_GREAT_WORK_HEIST_DESCRIPTION,,,ICON_UNITOPERATION_SPY_GREAT_WORK_HEIST,,1,1,OFFENSIVESPY,INTERFACEMODE_SPY_CHOOSE_MISSION,,,8,15,1,3,1,DISTRICT_THEATER,,1
UNITOPERATION_SPY_LISTENING_POST,LOC_UNITOPERATION_SPY_LISTENING_POST_DESCRIPTION,,,ICON_UNITOPERATION_SPY_LISTENING_POST,,1,1,OFFENSIVESPY,INTERFACEMODE_SPY_CHOOSE_MISSION,,,8,0,0,0,0,,,0
UNITOPERATION_SPY_RECRUIT_PARTISANS,LOC_UNITOPERATION_SPY_RECRUIT_PARTISANS_DESCRIPTION,,,ICON_UNITOPERATION_SPY_RECRUIT_PARTISANS,,1,1,OFFENSIVESPY,INTERFACEMODE_SPY_CHOOSE_MISSION,,,8,16,1,3,1,DISTRICT_NEIGHBORHOOD,,1
UNITOPERATION_SPY_SABOTAGE_PRODUCTION,LOC_UNITOPERATION_SPY_SABOTAGE_PRODUCTION_DESCRIPTION,,,ICON_UNITOPERATION_SPY_SABOTAGE_PRODUCTION,,1,1,OFFENSIVESPY,INTERFACEMODE_SPY_CHOOSE_MISSION,,,8,14,1,3,1,DISTRICT_INDUSTRIAL_ZONE,,1
UNITOPERATION_SPY_SIPHON_FUNDS,LOC_UNITOPERATION_SPY_SIPHON_FUNDS_DESCRIPTION,,,ICON_UNITOPERATION_SPY_SIPHON_FUNDS,,1,1,OFFENSIVESPY,INTERFACEMODE_SPY_CHOOSE_MISSION,,,8,13,1,3,1,DISTRICT_COMMERCIAL_HUB,,1
UNITOPERATION_SPY_STEAL_TECH_BOOST,LOC_UNITOPERATION_SPY_STEAL_TECH_BOOST_DESCRIPTION,,,ICON_UNITOPERATION_SPY_STEAL_TECH_BOOST,,1,1,OFFENSIVESPY,INTERFACEMODE_SPY_CHOOSE_MISSION,,,8,14,1,3,1,DISTRICT_CAMPUS,,1
UNITOPERATION_SPY_TRAVEL_NEW_CITY,LOC_UNITOPERATION_SPY_TRAVEL_NEW_CITY_DESCRIPTION,,,ICON_UNITOPERATION_SPY_TRAVEL_NEW_CITY,,1,1,MOVE,INTERFACEMODE_SPY_TRAVEL_TO_CITY,,,3,0,0,0,0,,,0
UNITOPERATION_SWAP_UNITS,LOC_UNITOPERATION_SWAP_UNITS_DESCRIPTION,,,ICON_UNITOPERATION_SWAP_UNITS,,0,0,SPECIFIC,,,,0,0,0,0,0,,,0
UNITOPERATION_TELEPORT_TO,LOC_UNITOPERATION_TELEPORT_TO,,,ICON_UNITOPERATION_TELEPORT_TO,,0,1,MOVE,,,,0,0,0,0,0,,,0
UNITOPERATION_TELEPORT_TO_CITY,LOC_UNITOPERATION_TELEPORT_TO_CITY_DESCRIPTION,,,ICON_UNITOPERATION_TELEPORT_TO_CITY,,1,1,MOVE,INTERFACEMODE_TELEPORT_TO_CITY,,,0,0,0,0,0,,,0
UNITOPERATION_UPGRADE,LOC_UNITOPERATION_UPGRADE_DESCRIPTION,,,ICON_UNITOPERATION_UPGRADE,,1,1,SPECIFIC,,,,0,0,0,0,0,,,0
UNITOPERATION_WAIT_FOR,LOC_UNITOPERATION_WAIT_FOR_DESCRIPTION,,,ICON_UNITOPERATION_WAIT_FOR,,0,0,SPECIFIC,,,,0,0,0,0,0,,,0
UNITOPERATION_ALERT,LOC_UNITOPERATION_ALERT_DESCRIPTION,,,ICON_UNITOPERATION_ALERT,Unit_Alert,1,0,INPLACE,,,,0,0,0,0,0,,Alert,0
UNITOPERATION_RELIGIOUS_HEAL,LOC_UNITOPERATION_RELIGIOUS_HEAL_DESCRIPTION,,,ICON_UNITOPERATION_RELIGIOUS_HEAL,,1,1,SPECIFIC,,,,0,0,0,0,0,,,0
UNITOPERATION_EXECUTE_SCRIPT,LOC_UNITOPERATION_EXECUTE_SCRIPT_DESCRIPTION,,,ICON_UNITOPERATION_FOUND_CITY,,0,0,SPECIFIC,,,,0,0,0,0,0,,,0
UNITOPERATION_SPY_FABRICATE_SCANDAL,LOC_UNITOPERATION_SPY_FABRICATE_SCANDAL_DESCRIPTION,,,ICON_UNITOPERATION_SPY_FABRICATE_SCANDAL,,1,1,OFFENSIVESPY,INTERFACEMODE_SPY_CHOOSE_MISSION,,,16,13,1,0,0,,,1
UNITOPERATION_SPY_FOMENT_UNREST,LOC_UNITOPERATION_SPY_FOMENT_UNREST_DESCRIPTION,,,ICON_UNITOPERATION_SPY_FOMENT_UNREST,,1,1,OFFENSIVESPY,INTERFACEMODE_SPY_CHOOSE_MISSION,,,8,13,1,3,1,,,1
UNITOPERATION_SPY_NEUTRALIZE_GOVERNOR,LOC_UNITOPERATION_SPY_NEUTRALIZE_GOVERNOR_DESCRIPTION,,,ICON_UNITOPERATION_SPY_NEUTRALIZE_GOVERNOR,,1,1,OFFENSIVESPY,INTERFACEMODE_SPY_CHOOSE_MISSION,,,8,14,1,3,1,,,1
UNITOPERATION_BUILD_IMPROVEMENT_ADJACENT,LOC_UNITOPERATION_BUILD_IMPROVEMENT_ADJACENT_DESCRIPTION,,,ICON_UNITOPERATION_BUILD_IMPROVEMENT,,1,1,BUILD,INTERFACEMODE_BUILD_IMPROVEMENT_ADJACENT,,,0,0,0,0,0,,,0
UNITOPERATION_TOURISM_BOMB,LOC_UNITOPERATION_TOURISM_BOMB_DESCRIPTION,,,ICON_UNITOPERATION_TOURISM_BOMB,,1,1,SPECIFIC,,,,0,0,0,0,0,,,0
UNITOPERATION_SPY_BREACH_DAM,LOC_UNITOPERATION_SPY_BREACH_DAM_DESCRIPTION,,,ICON_UNITOPERATION_SPY_BREACH_DAM,,1,1,OFFENSIVESPY,INTERFACEMODE_SPY_CHOOSE_MISSION,,,8,15,1,3,1,DISTRICT_DAM,,1
