Type,SubType,Initiator,Leader,Mood,StatementText,ReasonText,LeaderAnimation,SceneEffect,Selections
DECLARE_PROTECTORATE_WAR,NONE,AI,ANY,ANY,LOC_DIPLO_DECLARE_WAR_FROM_AI_$(LEADER)_$(MOOD),LOC_DIPLO_DECLARE_WAR_FROM_AI_$(LEADER)_PROTECTORATE_WAR,DECLARE_WAR_FROM_AI,HOSTILE,DECLARE_WAR_FROM_AI
DECLARE_COLONIAL_WAR,NONE,HUMAN,ANY,ANY,LOC_DIPLO_DECLARE_WAR_FROM_HUMAN_$(LEADER)_$(MOOD),,DECLARE_WAR_FROM_HUMAN,HOSTILE,DECLARE_WAR_FROM_HUMAN
DECLARE_COLONIAL_WAR,NONE,AI,ANY,ANY,LOC_DIPLO_DECLARE_WAR_FROM_AI_$(LEADER)_$(MOOD),LOC_DIPLO_DECLARE_WAR_FROM_AI_$(LEADER)_COLONIAL_WAR,DECLARE_WAR_FROM_AI,HOSTILE,DECLARE_WAR_FROM_AI
DECLARE_TERRITORIAL_WAR,NONE,HUMAN,ANY,ANY,LOC_DIPLO_DECLARE_WAR_FROM_HUMAN_$(LEADER)_$(MOOD),,DECLARE_WAR_FROM_HUMAN,HOSTILE,DECLARE_WAR_FROM_HUMAN
DECLARE_TERRITORIAL_WAR,NONE,AI,ANY,ANY,LOC_DIPLO_DECLARE_WAR_FROM_AI_$(LEADER)_$(MOOD),LOC_DIPLO_DECLARE_WAR_FROM_AI_$(LEADER)_TERRITORIAL_WAR,DECLARE_WAR_FROM_AI,HOSTILE,DECLARE_WAR_FROM_AI
DECLARE_JOINT_FORMAL_WAR,NONE,HUMAN,ANY,ANY,LOC_DIPLO_DECLARE_WAR_FROM_HUMAN_$(LEADER)_$(MOOD),,DECLARE_WAR_FROM_HUMAN,HOSTILE,DECLARE_WAR_FROM_HUMAN
DECLARE_JOINT_FORMAL_WAR,NONE,AI,ANY,ANY,LOC_DIPLO_DECLARE_WAR_FROM_AI_$(LEADER)_$(MOOD),LOC_DIPLO_DECLARE_WAR_FROM_AI_$(LEADER)_JOINT_FORMAL_WAR,DECLARE_WAR_FROM_AI,HOSTILE,DECLARE_WAR_FROM_AI
DECLARE_JOINT_HOLY_WAR,NONE,HUMAN,ANY,ANY,LOC_DIPLO_DECLARE_WAR_FROM_HUMAN_$(LEADER)_$(MOOD),,DECLARE_WAR_FROM_HUMAN,HOSTILE,DECLARE_WAR_FROM_HUMAN
DECLARE_JOINT_HOLY_WAR,NONE,AI,ANY,ANY,LOC_DIPLO_DECLARE_WAR_FROM_AI_$(LEADER)_$(MOOD),LOC_DIPLO_DECLARE_WAR_FROM_AI_$(LEADER)_JOINT_HOLY_WAR,DECLARE_WAR_FROM_AI,HOSTILE,DECLARE_WAR_FROM_AI
DECLARE_JOINT_RECONQUEST_WAR,NONE,HUMAN,ANY,ANY,LOC_DIPLO_DECLARE_WAR_FROM_HUMAN_$(LEADER)_$(MOOD),,DECLARE_WAR_FROM_HUMAN,HOSTILE,DECLARE_WAR_FROM_HUMAN
DECLARE_JOINT_RECONQUEST_WAR,NONE,AI,ANY,ANY,LOC_DIPLO_DECLARE_WAR_FROM_AI_$(LEADER)_$(MOOD),LOC_DIPLO_DECLARE_WAR_FROM_AI_$(LEADER)_JOINT_RECONQUEST_WAR,DECLARE_WAR_FROM_AI,HOSTILE,DECLARE_WAR_FROM_AI
DECLARE_JOINT_LIBERATION_WAR,NONE,HUMAN,ANY,ANY,LOC_DIPLO_DECLARE_WAR_FROM_HUMAN_$(LEADER)_$(MOOD),,DECLARE_WAR_FROM_HUMAN,HOSTILE,DECLARE_WAR_FROM_HUMAN
DECLARE_JOINT_LIBERATION_WAR,NONE,AI,ANY,ANY,LOC_DIPLO_DECLARE_WAR_FROM_AI_$(LEADER)_$(MOOD),LOC_DIPLO_DECLARE_WAR_FROM_AI_$(LEADER)_JOINT_LIBERATION_WAR,DECLARE_WAR_FROM_AI,HOSTILE,DECLARE_WAR_FROM_AI
DECLARE_JOINT_PROTECTORATE_WAR,NONE,HUMAN,ANY,ANY,LOC_DIPLO_DECLARE_WAR_FROM_HUMAN_$(LEADER)_$(MOOD),,DECLARE_WAR_FROM_HUMAN,HOSTILE,DECLARE_WAR_FROM_HUMAN
DECLARE_JOINT_PROTECTORATE_WAR,NONE,AI,ANY,ANY,LOC_DIPLO_DECLARE_WAR_FROM_AI_$(LEADER)_$(MOOD),LOC_DIPLO_DECLARE_WAR_FROM_AI_$(LEADER)_JOINT_PROTECTORATE_WAR,DECLARE_WAR_FROM_AI,HOSTILE,DECLARE_WAR_FROM_AI
DECLARE_JOINT_COLONIAL_WAR,NONE,HUMAN,ANY,ANY,LOC_DIPLO_DECLARE_WAR_FROM_HUMAN_$(LEADER)_$(MOOD),,DECLARE_WAR_FROM_HUMAN,HOSTILE,DECLARE_WAR_FROM_HUMAN
DECLARE_JOINT_COLONIAL_WAR,NONE,AI,ANY,ANY,LOC_DIPLO_DECLARE_WAR_FROM_AI_$(LEADER)_$(MOOD),LOC_DIPLO_DECLARE_WAR_FROM_AI_$(LEADER)_JOINT_COLONIAL_WAR,DECLARE_WAR_FROM_AI,HOSTILE,DECLARE_WAR_FROM_AI
DECLARE_JOINT_TERRITORIAL_WAR,NONE,HUMAN,ANY,ANY,LOC_DIPLO_DECLARE_WAR_FROM_HUMAN_$(LEADER)_$(MOOD),,DECLARE_WAR_FROM_HUMAN,HOSTILE,DECLARE_WAR_FROM_HUMAN
DECLARE_JOINT_TERRITORIAL_WAR,NONE,AI,ANY,ANY,LOC_DIPLO_DECLARE_WAR_FROM_AI_$(LEADER)_$(MOOD),LOC_DIPLO_DECLARE_WAR_FROM_AI_$(LEADER)_JOINT_TERRITORIAL_WAR,DECLARE_WAR_FROM_AI,HOSTILE,DECLARE_WAR_FROM_AI
DEFEAT,NONE,HUMAN,ANY,ANY,LOC_DIPLO_DEFEAT_FROM_HUMAN_$(LEADER)_$(MOOD),,DEFEAT,,DEFEAT_FROM_HUMAN
DEFEAT,NONE,AI,ANY,ANY,LOC_DIPLO_DEFEAT_FROM_AI_$(LEADER)_$(MOOD),,DEFEAT,,DEFEAT_FROM_AI
DIPLOMATIC_DELEGATION,NONE,HUMAN,ANY,ANY,LOC_DIPLO_DELEGATION_FROM_AI_$(LEADER)_$(MOOD),,NEUTRAL_POSITIVE,,DELEGATION_FROM_AI
DIPLOMATIC_DELEGATION,NONE,HUMAN,ANY,HAPPY,LOC_DIPLO_DELEGATION_FROM_AI_$(LEADER)_$(MOOD),,HAPPY_POSITIVE,,DELEGATION_FROM_AI
DIPLOMATIC_DELEGATION,NONE,HUMAN,ANY,UNHAPPY,LOC_DIPLO_DELEGATION_FROM_AI_$(LEADER)_$(MOOD),,UNHAPPY_POSITIVE,,DELEGATION_FROM_AI
DIPLOMATIC_DELEGATION,NONE,AI,ANY,ANY,LOC_DIPLO_DELEGATION_FROM_AI_$(LEADER)_$(MOOD),,NEUTRAL_POSITIVE,,DELEGATION_FROM_AI
DIPLOMATIC_DELEGATION,NONE,AI,ANY,HAPPY,LOC_DIPLO_DELEGATION_FROM_AI_$(LEADER)_$(MOOD),,HAPPY_POSITIVE,,DELEGATION_FROM_AI
DIPLOMATIC_DELEGATION,NONE,AI,ANY,UNHAPPY,LOC_DIPLO_DELEGATION_FROM_AI_$(LEADER)_$(MOOD),,UNHAPPY_POSITIVE,,DELEGATION_FROM_AI
DIPLOMATIC_DELEGATION,AI_ACCEPT_DEAL,HUMAN,ANY,ANY,LOC_DIPLO_ACCEPT_DELEGATION_FROM_HUMAN_$(LEADER)_$(MOOD),,NEUTRAL_POSITIVE,,DELEGATION_FROM_HUMAN
DIPLOMATIC_DELEGATION,AI_ACCEPT_DEAL,HUMAN,ANY,HAPPY,LOC_DIPLO_ACCEPT_DELEGATION_FROM_HUMAN_$(LEADER)_$(MOOD),,HAPPY_POSITIVE,,DELEGATION_FROM_HUMAN
DIPLOMATIC_DELEGATION,AI_ACCEPT_DEAL,HUMAN,ANY,UNHAPPY,LOC_DIPLO_ACCEPT_DELEGATION_FROM_HUMAN_$(LEADER)_$(MOOD),,UNHAPPY_POSITIVE,,DELEGATION_FROM_HUMAN
DIPLOMATIC_DELEGATION,AI_REFUSE_DEAL,HUMAN,ANY,ANY,LOC_DIPLO_REJECT_DELEGATION_FROM_HUMAN_$(LEADER)_$(MOOD),,NEUTRAL_NEGATIVE,,DELEGATION_FROM_HUMAN
DIPLOMATIC_DELEGATION,AI_REFUSE_DEAL,HUMAN,ANY,HAPPY,LOC_DIPLO_REJECT_DELEGATION_FROM_HUMAN_$(LEADER)_$(MOOD),,HAPPY_NEGATIVE,,DELEGATION_FROM_HUMAN
DIPLOMATIC_DELEGATION,AI_REFUSE_DEAL,HUMAN,ANY,UNHAPPY,LOC_DIPLO_REJECT_DELEGATION_FROM_HUMAN_$(LEADER)_$(MOOD),,UNHAPPY_NEGATIVE,,DELEGATION_FROM_HUMAN
DIPLOMATIC_DELEGATION,HUMAN_ACCEPT_DEAL,AI,ANY,ANY,LOC_DIPLO_ACCEPT_DELEGATION_FROM_AI_$(LEADER)_$(MOOD),,NEUTRAL_POSITIVE,,DELEGATION_EXIT
DIPLOMATIC_DELEGATION,HUMAN_ACCEPT_DEAL,AI,ANY,HAPPY,LOC_DIPLO_ACCEPT_DELEGATION_FROM_AI_$(LEADER)_$(MOOD),,HAPPY_POSITIVE,,DELEGATION_EXIT
DIPLOMATIC_DELEGATION,HUMAN_ACCEPT_DEAL,AI,ANY,UNHAPPY,LOC_DIPLO_ACCEPT_DELEGATION_FROM_AI_$(LEADER)_$(MOOD),,UNHAPPY_POSITIVE,,DELEGATION_EXIT
DIPLOMATIC_DELEGATION,HUMAN_REFUSE_DEAL,AI,ANY,ANY,LOC_DIPLO_REJECT_DELEGATION_FROM_AI_$(LEADER)_$(MOOD),,NEUTRAL_NEGATIVE,,DELEGATION_EXIT
DIPLOMATIC_DELEGATION,HUMAN_REFUSE_DEAL,AI,ANY,HAPPY,LOC_DIPLO_REJECT_DELEGATION_FROM_AI_$(LEADER)_$(MOOD),,HAPPY_NEGATIVE,,DELEGATION_EXIT
DIPLOMATIC_DELEGATION,HUMAN_REFUSE_DEAL,AI,ANY,UNHAPPY,LOC_DIPLO_REJECT_DELEGATION_FROM_AI_$(LEADER)_$(MOOD),,UNHAPPY_NEGATIVE,,DELEGATION_EXIT
DENOUNCE,NONE,HUMAN,ANY,ANY,LOC_DIPLO_DENOUNCE_FROM_HUMAN_$(LEADER)_$(MOOD),LOC_DIPLO_DENOUNCE_REASON_FROM_HUMAN_$(LEADER)_$(REASON),NEUTRAL_TO_UNHAPPY,,DENOUNCE_FROM_HUMAN
DENOUNCE,NONE,AI,ANY,ANY,LOC_DIPLO_DENOUNCE_FROM_AI_$(LEADER)_$(MOOD),LOC_DIPLO_DENOUNCE_REASON_FROM_AI_$(LEADER)_$(REASON),ENRAGED,,DENOUNCE_FROM_AI
RESIDENT_EMBASSY,NONE,HUMAN,ANY,ANY,LOC_DIPLO_EMBASSY_FROM_AI_$(LEADER)_$(MOOD),,NEUTRAL_POSITIVE,,EMBASSY_FROM_AI
RESIDENT_EMBASSY,NONE,HUMAN,ANY,HAPPY,LOC_DIPLO_EMBASSY_FROM_AI_$(LEADER)_$(MOOD),,HAPPY_POSITIVE,,EMBASSY_FROM_AI
RESIDENT_EMBASSY,NONE,HUMAN,ANY,UNHAPPY,LOC_DIPLO_EMBASSY_FROM_AI_$(LEADER)_$(MOOD),,UNHAPPY_POSITIVE,,EMBASSY_FROM_AI
RESIDENT_EMBASSY,NONE,AI,ANY,ANY,LOC_DIPLO_EMBASSY_FROM_AI_$(LEADER)_$(MOOD),,NEUTRAL_POSITIVE,,EMBASSY_FROM_AI
RESIDENT_EMBASSY,NONE,AI,ANY,HAPPY,LOC_DIPLO_EMBASSY_FROM_AI_$(LEADER)_$(MOOD),,HAPPY_POSITIVE,,EMBASSY_FROM_AI
RESIDENT_EMBASSY,NONE,AI,ANY,UNHAPPY,LOC_DIPLO_EMBASSY_FROM_AI_$(LEADER)_$(MOOD),,UNHAPPY_POSITIVE,,EMBASSY_FROM_AI
RESIDENT_EMBASSY,AI_ACCEPT_DEAL,HUMAN,ANY,ANY,LOC_DIPLO_ACCEPT_EMBASSY_FROM_HUMAN_$(LEADER)_$(MOOD),,NEUTRAL_POSITIVE,,EMBASSY_FROM_HUMAN
RESIDENT_EMBASSY,AI_ACCEPT_DEAL,HUMAN,ANY,HAPPY,LOC_DIPLO_ACCEPT_EMBASSY_FROM_HUMAN_$(LEADER)_$(MOOD),,HAPPY_POSITIVE,,EMBASSY_FROM_HUMAN
RESIDENT_EMBASSY,AI_ACCEPT_DEAL,HUMAN,ANY,UNHAPPY,LOC_DIPLO_ACCEPT_EMBASSY_FROM_HUMAN_$(LEADER)_$(MOOD),,UNHAPPY_POSITIVE,,EMBASSY_FROM_HUMAN
RESIDENT_EMBASSY,AI_REFUSE_DEAL,HUMAN,ANY,ANY,LOC_DIPLO_REJECT_EMBASSY_FROM_HUMAN_$(LEADER)_$(MOOD),,NEUTRAL_NEGATIVE,,EMBASSY_FROM_HUMAN
RESIDENT_EMBASSY,AI_REFUSE_DEAL,HUMAN,ANY,HAPPY,LOC_DIPLO_REJECT_EMBASSY_FROM_HUMAN_$(LEADER)_$(MOOD),,HAPPY_NEGATIVE,,EMBASSY_FROM_HUMAN
RESIDENT_EMBASSY,AI_REFUSE_DEAL,HUMAN,ANY,UNHAPPY,LOC_DIPLO_REJECT_EMBASSY_FROM_HUMAN_$(LEADER)_$(MOOD),,UNHAPPY_NEGATIVE,,EMBASSY_FROM_HUMAN
RESIDENT_EMBASSY,HUMAN_ACCEPT_DEAL,AI,ANY,ANY,LOC_DIPLO_ACCEPT_EMBASSY_FROM_AI_$(LEADER)_$(MOOD),,NEUTRAL_POSITIVE,,EMBASSY_EXIT
RESIDENT_EMBASSY,HUMAN_ACCEPT_DEAL,AI,ANY,HAPPY,LOC_DIPLO_ACCEPT_EMBASSY_FROM_AI_$(LEADER)_$(MOOD),,HAPPY_POSITIVE,,EMBASSY_EXIT
RESIDENT_EMBASSY,HUMAN_ACCEPT_DEAL,AI,ANY,UNHAPPY,LOC_DIPLO_ACCEPT_EMBASSY_FROM_AI_$(LEADER)_$(MOOD),,UNHAPPY_POSITIVE,,EMBASSY_EXIT
RESIDENT_EMBASSY,HUMAN_REFUSE_DEAL,AI,ANY,ANY,LOC_DIPLO_REJECT_EMBASSY_FROM_AI_$(LEADER)_$(MOOD),,NEUTRAL_NEGATIVE,,EMBASSY_EXIT
RESIDENT_EMBASSY,HUMAN_REFUSE_DEAL,AI,ANY,HAPPY,LOC_DIPLO_REJECT_EMBASSY_FROM_AI_$(LEADER)_$(MOOD),,HAPPY_NEGATIVE,,EMBASSY_EXIT
RESIDENT_EMBASSY,HUMAN_REFUSE_DEAL,AI,ANY,UNHAPPY,LOC_DIPLO_REJECT_EMBASSY_FROM_AI_$(LEADER)_$(MOOD),,UNHAPPY_NEGATIVE,,EMBASSY_EXIT
FIRST_MEET_NEAR_RECIPIENT,NONE,HUMAN,ANY,ANY,LOC_DIPLO_FIRST_MEET_$(LEADER)_$(MOOD),,FIRST_MEET,,FIRST_MEET_NEAR_RECIPIENT
FIRST_MEET_NEAR_RECIPIENT,NONE,AI,ANY,ANY,LOC_DIPLO_FIRST_MEET_$(LEADER)_$(MOOD),,FIRST_MEET,,FIRST_MEET_NEAR_RECIPIENT
FIRST_MEET_VISIT_RECIPIENT,NONE,HUMAN,ANY,ANY,LOC_DIPLO_FIRST_MEET_VISIT_RECIPIENT_$(LEADER)_$(MOOD),,NEUTRAL_POSITIVE,,FIRST_MEET_VISIT_RECIPIENT
FIRST_MEET_VISIT_RECIPIENT,NONE,AI,ANY,ANY,LOC_DIPLO_FIRST_MEET_VISIT_RECIPIENT_$(LEADER)_$(MOOD),,NEUTRAL_POSITIVE,,FIRST_MEET_VISIT_RECIPIENT
FIRST_MEET_NEAR_INITIATOR,NONE,HUMAN,ANY,ANY,LOC_DIPLO_FIRST_MEET_$(LEADER)_$(MOOD),,FIRST_MEET,,FIRST_MEET_NEAR_INITIATOR
FIRST_MEET_NEAR_INITIATOR,NONE,AI,ANY,ANY,LOC_DIPLO_FIRST_MEET_$(LEADER)_$(MOOD),,FIRST_MEET,,FIRST_MEET_NEAR_INITIATOR
FIRST_MEET_NEAR_INITIATOR,POSITIVE,HUMAN,ANY,ANY,LOC_DIPLO_FIRST_MEET_NEAR_INITIATOR_POSITIVE_$(LEADER)_$(MOOD),,NEUTRAL_POSITIVE,,FIRST_MEET_POSITIVE_NEAR_INITIATOR
FIRST_MEET_NEAR_INITIATOR,POSITIVE,AI,ANY,ANY,LOC_DIPLO_FIRST_MEET_NEAR_INITIATOR_POSITIVE_$(LEADER)_$(MOOD),,NEUTRAL_POSITIVE,,FIRST_MEET_POSITIVE_NEAR_INITIATOR
FIRST_MEET_NO_MANS,NONE,HUMAN,ANY,ANY,LOC_DIPLO_FIRST_MEET_$(LEADER)_$(MOOD),,FIRST_MEET,,FIRST_MEET_NO_MANS
FIRST_MEET_NO_MANS,NONE,AI,ANY,ANY,LOC_DIPLO_FIRST_MEET_$(LEADER)_$(MOOD),,FIRST_MEET,,FIRST_MEET_NO_MANS
FIRST_MEET_NO_MANS_INFO_EXCHANGE,NONE,HUMAN,ANY,ANY,LOC_DIPLO_FIRST_MEET_NO_MANS_INFO_EXCHANGE_$(LEADER)_$(MOOD),,NEUTRAL_POSITIVE,,FIRST_MEET_NO_MANS_INFO_EXCHANGE
FIRST_MEET_NO_MANS_INFO_EXCHANGE,NONE,AI,ANY,ANY,LOC_DIPLO_FIRST_MEET_NO_MANS_INFO_EXCHANGE_$(LEADER)_$(MOOD),,NEUTRAL_POSITIVE,,FIRST_MEET_NO_MANS_INFO_EXCHANGE
GREETING,NONE,HUMAN,ANY,HAPPY,LOC_DIPLO_GREETING_$(LEADER)_$(MOOD),,HAPPY_POSITIVE,,GREETING
GREETING,NONE,HUMAN,ANY,ANY,LOC_DIPLO_GREETING_$(LEADER)_$(MOOD),,NEUTRAL_GREETING,,GREETING
GREETING,NONE,HUMAN,ANY,UNHAPPY,LOC_DIPLO_GREETING_$(LEADER)_$(MOOD),,UNHAPPY_NEGATIVE,,GREETING
DIPLOMATIC_KUDO,NONE,AI,ANY,ANY,LOC_DIPLO_KUDO_EXIT_$(LEADER)_$(MOOD),,KUDOS,,KUDO_EXIT
DIPLOMATIC_WARNING,NONE,AI,ANY,ANY,LOC_DIPLO_WARNING_EXIT_$(LEADER)_$(MOOD),,WARNING,,WARNING_EXIT
DIPLOMATIC_HIDDEN_AGENDA_KUDO,NONE,AI,ANY,ANY,LOC_DIPLO_KUDO_EXIT_ANY_ANY,LOC_DIPLO_KUDO_$(LEADER)_$(REASON),NEUTRAL_POSITIVE,,KUDO_EXIT
DIPLOMATIC_HIDDEN_AGENDA_KUDO,NONE,AI,ANY,HAPPY,LOC_DIPLO_KUDO_EXIT_ANY_ANY,LOC_DIPLO_KUDO_$(LEADER)_$(REASON),HAPPY_POSITIVE,,KUDO_EXIT
DIPLOMATIC_HIDDEN_AGENDA_KUDO,NONE,AI,ANY,UNHAPPY,LOC_DIPLO_KUDO_EXIT_ANY_ANY,LOC_DIPLO_KUDO_$(LEADER)_$(REASON),UNHAPPY_POSITIVE,,KUDO_EXIT
DIPLOMATIC_HIDDEN_AGENDA_WARNING,NONE,AI,ANY,ANY,LOC_DIPLO_WARNING_EXIT_ANY_ANY,LOC_DIPLO_WARNING_$(LEADER)_$(REASON),NEUTRAL_NEGATIVE,,WARNING_EXIT
DIPLOMATIC_HIDDEN_AGENDA_WARNING,NONE,AI,ANY,HAPPY,LOC_DIPLO_WARNING_EXIT_ANY_ANY,LOC_DIPLO_WARNING_$(LEADER)_$(REASON),HAPPY_NEGATIVE,,WARNING_EXIT
DIPLOMATIC_HIDDEN_AGENDA_WARNING,NONE,AI,ANY,UNHAPPY,LOC_DIPLO_WARNING_EXIT_ANY_ANY,LOC_DIPLO_WARNING_$(LEADER)_$(REASON),UNHAPPY_NEGATIVE,,WARNING_EXIT
MAKE_ALLIANCE,NONE,HUMAN,ANY,ANY,LOC_DIPLO_MAKE_ALLIANCE_FROM_AI_$(LEADER)_$(MOOD),,HAPPY_POSITIVE,,MAKE_ALLIANCE_FROM_AI
MAKE_ALLIANCE,NONE,AI,ANY,ANY,LOC_DIPLO_MAKE_ALLIANCE_FROM_AI_$(LEADER)_$(MOOD),,HAPPY_POSITIVE,,MAKE_ALLIANCE_FROM_AI
MAKE_ALLIANCE,AI_ACCEPT_DEAL,HUMAN,ANY,ANY,LOC_DIPLO_ACCEPT_MAKE_ALLIANCE_FROM_AI_$(LEADER)_$(MOOD),,HAPPY_POSITIVE,,MAKE_ALLIANCE_FROM_HUMAN
MAKE_ALLIANCE,AI_REFUSE_DEAL,HUMAN,ANY,ANY,LOC_DIPLO_REJECT_MAKE_ALLIANCE_FROM_AI_$(LEADER)_$(MOOD),,HAPPY_POSITIVE,,MAKE_ALLIANCE_FROM_HUMAN
MAKE_ALLIANCE,HUMAN_ACCEPT_DEAL,AI,ANY,ANY,LOC_DIPLO_ACCEPT_MAKE_ALLIANCE_FROM_AI_$(LEADER)_$(MOOD),,HAPPY_POSITIVE,,MAKE_ALLIANCE_EXIT
MAKE_ALLIANCE,HUMAN_REFUSE_DEAL,AI,ANY,ANY,LOC_DIPLO_REJECT_MAKE_ALLIANCE_FROM_AI_$(LEADER)_$(MOOD),,HAPPY_NEGATIVE,,MAKE_ALLIANCE_EXIT
MAKE_DEAL,NONE,HUMAN,ANY,ANY,,,NEUTRAL_IDLE,,
MAKE_DEAL,NONE,HUMAN,ANY,HAPPY,,,HAPPY_IDLE,,
MAKE_DEAL,NONE,HUMAN,ANY,UNHAPPY,,,UNHAPPY_IDLE,,
MAKE_DEAL,NONE,AI,ANY,ANY,,,NEUTRAL_IDLE,,
MAKE_DEAL,NONE,AI,ANY,HAPPY,,,HAPPY_IDLE,,
MAKE_DEAL,NONE,AI,ANY,UNHAPPY,,,UNHAPPY_IDLE,,
MAKE_DEAL,AI_ACCEPT_DEAL,AI,ANY,ANY,LOC_DIPLO_MAKE_DEAL_AI_ACCEPT_DEAL_$(LEADER)_$(MOOD),,NEUTRAL_POSITIVE,,MAKE_DEAL_AI_ACCEPT_DEAL
MAKE_DEAL,AI_ACCEPT_DEAL,AI,ANY,HAPPY,LOC_DIPLO_MAKE_DEAL_AI_ACCEPT_DEAL_$(LEADER)_$(MOOD),,HAPPY_POSITIVE,,MAKE_DEAL_AI_ACCEPT_DEAL
MAKE_DEAL,AI_ACCEPT_DEAL,AI,ANY,UNHAPPY,LOC_DIPLO_MAKE_DEAL_AI_ACCEPT_DEAL_$(LEADER)_$(MOOD),,UNHAPPY_POSITIVE,,MAKE_DEAL_AI_ACCEPT_DEAL
