GreatPersonIndividualType,Name,GreatPersonClassType,EraType,ActionCharges,ActionRequiresOwnedTile,ActionRequiresUnownedTile,ActionRequiresAdjacentMountain,ActionRequiresAdjacentOwnedTile,ActionRequiresAdjacentBarbarianUnit,ActionRequiresOnOrAdjacentNaturalWonder,ActionRequiresOnOrAdjacentFeatureType,ActionRequiresIncompleteWonder,ActionRequiresIncompleteSpaceRaceProject,ActionRequiresVisibleLuxury,ActionRequiresNoMilitaryUnit,ActionRequiresPlayerRelicSlot,ActionRequiresMilitaryUnitDomain,ActionRequiresUnitMilitaryFormation,ActionRequiresNearbyUnitWithTagA,ActionRequiresNearbyUnitWithTagB,ActionRequiresLandMilitaryUnitWithinXTiles,ActionRequiresEnemyMilitaryUnitWithinXTiles,ActionRequiresCityGreatWorkObjectType,ActionRequiresCompletedDistrictType,ActionRequiresMissingBuildingType,ActionRequiresGoldCost,ActionNameTextOverride,ActionEffectTextOverride,ActionEffectTileHighlighting,BirthNameTextOverride,BirthEffectTextOverride,AreaHighlightRadius,Gender,ActionRequiresEnemyTerritory,ActionRequiresCityStateTerritory,ActionRequiresNonHostileTerritory,ActionRequiresSuzerainTerritory,ActionRequiresUnitCanGainExperience
GREAT_PERSON_INDIVIDUAL_SERGEY_GORSHKOV,LOC_GREAT_PERSON_INDIVIDUAL_SERGEY_GORSHKOV_NAME,GREAT_PERSON_CLASS_ADMIRAL,ERA_ATOMIC,1,0,0,0,0,0,0,,0,0,0,0,0,DOMAIN_SEA,,,,,,,,,,LOC_GREATPERSON_ACTION_NAME_RETIRE,,0,,,2.0,M,0,0,0,0,1
GREAT_PERSON_INDIVIDUAL_CLANCY_FERNANDO,LOC_GREAT_PERSON_INDIVIDUAL_CLANCY_FERNANDO_NAME,GREAT_PERSON_CLASS_ADMIRAL,ERA_INFORMATION,1,0,0,0,0,0,0,,0,0,0,0,0,DOMAIN_SEA,,,,,,,,,,LOC_GREATPERSON_ACTION_NAME_RETIRE,,0,,,2.0,M,0,0,0,0,1
GREAT_PERSON_INDIVIDUAL_ANDREY_RUBLEV,LOC_GREAT_PERSON_INDIVIDUAL_ANDREY_RUBLEV_NAME,GREAT_PERSON_CLASS_ARTIST,ERA_RENAISSANCE,0,1,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,1,,,,M,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_HIERONYMUS_BOSCH,LOC_GREAT_PERSON_INDIVIDUAL_HIERONYMUS_BOSCH_NAME,GREAT_PERSON_CLASS_ARTIST,ERA_RENAISSANCE,0,1,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,1,,,,M,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_DONATELLO,LOC_GREAT_PERSON_INDIVIDUAL_DONATELLO_NAME,GREAT_PERSON_CLASS_ARTIST,ERA_RENAISSANCE,0,1,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,1,,,,M,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_MICHELANGELO,LOC_GREAT_PERSON_INDIVIDUAL_MICHELANGELO_NAME,GREAT_PERSON_CLASS_ARTIST,ERA_RENAISSANCE,0,1,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,1,,,,M,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_QIU_YING,LOC_GREAT_PERSON_INDIVIDUAL_QIU_YING_NAME,GREAT_PERSON_CLASS_ARTIST,ERA_INDUSTRIAL,0,1,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,1,,,,M,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_TITIAN,LOC_GREAT_PERSON_INDIVIDUAL_TITIAN_NAME,GREAT_PERSON_CLASS_ARTIST,ERA_INDUSTRIAL,0,1,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,1,,,,M,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_EL_GRECO,LOC_GREAT_PERSON_INDIVIDUAL_EL_GRECO_NAME,GREAT_PERSON_CLASS_ARTIST,ERA_INDUSTRIAL,0,1,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,1,,,,M,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_REMBRANDT_VAN_RIJN,LOC_GREAT_PERSON_INDIVIDUAL_REMBRANDT_VAN_RIJN_NAME,GREAT_PERSON_CLASS_ARTIST,ERA_INDUSTRIAL,0,1,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,1,,,,M,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_SOFONISBA_ANGUISSOLA,LOC_GREAT_PERSON_INDIVIDUAL_SOFONISBA_ANGUISSOLA_NAME,GREAT_PERSON_CLASS_ARTIST,ERA_MODERN,0,1,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,1,,,,F,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_ANGELICA_KAUFFMAN,LOC_GREAT_PERSON_INDIVIDUAL_ANGELICA_KAUFFMAN_NAME,GREAT_PERSON_CLASS_ARTIST,ERA_MODERN,0,1,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,1,,,,F,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_JANG_SEUNG_EOP,LOC_GREAT_PERSON_INDIVIDUAL_JANG_SEUNG_EOP_NAME,GREAT_PERSON_CLASS_ARTIST,ERA_MODERN,0,1,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,1,,,,M,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_KATSUSHIKA_HOKUSAI,LOC_GREAT_PERSON_INDIVIDUAL_KATSUSHIKA_HOKUSAI_NAME,GREAT_PERSON_CLASS_ARTIST,ERA_MODERN,0,1,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,1,,,,M,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_VINCENT_VAN_GOGH,LOC_GREAT_PERSON_INDIVIDUAL_VINCENT_VAN_GOGH_NAME,GREAT_PERSON_CLASS_ARTIST,ERA_ATOMIC,0,1,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,1,,,,M,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_EDMONIA_LEWIS,LOC_GREAT_PERSON_INDIVIDUAL_EDMONIA_LEWIS_NAME,GREAT_PERSON_CLASS_ARTIST,ERA_ATOMIC,0,1,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,1,,,,F,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_MARIE_ANNE_COLLOT,LOC_GREAT_PERSON_INDIVIDUAL_MARIE_ANNE_COLLOT_NAME,GREAT_PERSON_CLASS_ARTIST,ERA_ATOMIC,0,1,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,1,,,,F,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_CLAUDE_MONET,LOC_GREAT_PERSON_INDIVIDUAL_CLAUDE_MONET_NAME,GREAT_PERSON_CLASS_ARTIST,ERA_ATOMIC,0,1,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,1,,,,M,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_BORIS_ORLOVSKY,LOC_GREAT_PERSON_INDIVIDUAL_BORIS_ORLOVSKY_NAME,GREAT_PERSON_CLASS_ARTIST,ERA_INFORMATION,0,1,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,1,,,,M,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_GUSTAV_KLIMT,LOC_GREAT_PERSON_INDIVIDUAL_GUSTAV_KLIMT_NAME,GREAT_PERSON_CLASS_ARTIST,ERA_INFORMATION,0,1,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,1,,,,M,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_AMRITA_SHER_GIL,LOC_GREAT_PERSON_INDIVIDUAL_AMRITA_SHER_GIL_NAME,GREAT_PERSON_CLASS_ARTIST,ERA_INFORMATION,0,1,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,1,,,,F,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_MARY_CASSATT,LOC_GREAT_PERSON_INDIVIDUAL_MARY_CASSATT_NAME,GREAT_PERSON_CLASS_ARTIST,ERA_INFORMATION,0,1,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,1,,,,F,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_BI_SHENG,LOC_GREAT_PERSON_INDIVIDUAL_BI_SHENG_NAME,GREAT_PERSON_CLASS_ENGINEER,ERA_MEDIEVAL,1,1,0,0,0,0,0,,0,0,0,0,0,,,,,,,,DISTRICT_CITY_CENTER,,,,,1,,,,M,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_ISIDORE_OF_MILETUS,LOC_GREAT_PERSON_INDIVIDUAL_ISIDORE_OF_MILETUS_NAME,GREAT_PERSON_CLASS_ENGINEER,ERA_MEDIEVAL,2,1,0,0,0,0,0,,1,0,0,0,0,,,,,,,,,,,,,1,,,,M,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_JAMES_OF_ST_GEORGE,LOC_GREAT_PERSON_INDIVIDUAL_JAMES_OF_ST_GEORGE_NAME,GREAT_PERSON_CLASS_ENGINEER,ERA_MEDIEVAL,3,1,0,0,0,0,0,,0,0,0,0,0,,,,,,,,DISTRICT_CITY_CENTER,BUILDING_CASTLE,,,LOC_GREATPERSON_JAMES_OF_ST_GEORGE_ACTIVE,1,,,,M,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_FILIPPO_BRUNELLESCHI,LOC_GREAT_PERSON_INDIVIDUAL_FILIPPO_BRUNELLESCHI_NAME,GREAT_PERSON_CLASS_ENGINEER,ERA_RENAISSANCE,2,1,0,0,0,0,0,,1,0,0,0,0,,,,,,,,,,,,,1,,,,M,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_LEONARDO_DA_VINCI,LOC_GREAT_PERSON_INDIVIDUAL_LEONARDO_DA_VINCI_NAME,GREAT_PERSON_CLASS_ENGINEER,ERA_RENAISSANCE,1,1,0,0,0,0,0,,0,0,0,0,0,,,,,,,,DISTRICT_INDUSTRIAL_ZONE,,,,,1,,,,M,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_MIMAR_SINAN,LOC_GREAT_PERSON_INDIVIDUAL_MIMAR_SINAN_NAME,GREAT_PERSON_CLASS_ENGINEER,ERA_RENAISSANCE,1,1,0,0,0,0,0,,0,0,0,0,0,,,,,,,,DISTRICT_CITY_CENTER,,,,,1,,,,M,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_ADA_LOVELACE,LOC_GREAT_PERSON_INDIVIDUAL_ADA_LOVELACE_NAME,GREAT_PERSON_CLASS_ENGINEER,ERA_INDUSTRIAL,1,1,0,0,0,0,0,,0,0,0,0,0,,,,,,,,DISTRICT_CITY_CENTER,,,,,1,,,,F,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_GUSTAVE_EIFFEL,LOC_GREAT_PERSON_INDIVIDUAL_GUSTAVE_EIFFEL_NAME,GREAT_PERSON_CLASS_ENGINEER,ERA_INDUSTRIAL,2,1,0,0,0,0,0,,1,0,0,0,0,,,,,,,,,,,,,1,,,,M,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_JAMES_WATT,LOC_GREAT_PERSON_INDIVIDUAL_JAMES_WATT_NAME,GREAT_PERSON_CLASS_ENGINEER,ERA_INDUSTRIAL,1,1,0,0,0,0,0,,0,0,0,0,0,,,,,,,,DISTRICT_INDUSTRIAL_ZONE,,,,LOC_GREATPERSON_JAMES_WATT_ACTIVE,1,,,,M,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_ALVAR_AALTO,LOC_GREAT_PERSON_INDIVIDUAL_ALVAR_AALTO_NAME,GREAT_PERSON_CLASS_ENGINEER,ERA_MODERN,1,1,0,0,0,0,0,,0,0,0,0,0,,,,,,,,DISTRICT_CITY_CENTER,,,,,1,,,,M,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_NIKOLA_TESLA,LOC_GREAT_PERSON_INDIVIDUAL_NIKOLA_TESLA_NAME,GREAT_PERSON_CLASS_ENGINEER,ERA_MODERN,1,1,0,0,0,0,0,,0,0,0,0,0,,,,,,,,DISTRICT_INDUSTRIAL_ZONE,,,,,1,,,,M,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_ROBERT_GODDARD,LOC_GREAT_PERSON_INDIVIDUAL_ROBERT_GODDARD_NAME,GREAT_PERSON_CLASS_ENGINEER,ERA_MODERN,1,1,0,0,0,0,0,,0,0,0,0,0,,,,,,,,DISTRICT_INDUSTRIAL_ZONE,,,,,1,,,,M,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_JOHN_A_ROEBLING,LOC_GREAT_PERSON_INDIVIDUAL_JOHN_A_ROEBLING_NAME,GREAT_PERSON_CLASS_ENGINEER,ERA_ATOMIC,2,1,0,0,0,0,0,,0,0,0,0,0,,,,,,,,DISTRICT_CITY_CENTER,,,,,1,,,,M,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_JANE_DREW,LOC_GREAT_PERSON_INDIVIDUAL_JANE_DREW_NAME,GREAT_PERSON_CLASS_ENGINEER,ERA_ATOMIC,1,1,0,0,0,0,0,,0,0,0,0,0,,,,,,,,DISTRICT_CITY_CENTER,,,,,1,,,,F,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_SERGEI_KOROLEV,LOC_GREAT_PERSON_INDIVIDUAL_SERGEI_KOROLEV_NAME,GREAT_PERSON_CLASS_ENGINEER,ERA_ATOMIC,1,1,0,0,0,0,0,,0,1,0,0,0,,,,,,,,DISTRICT_SPACEPORT,,,,,1,,,,M,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_CHARLES_CORREA,LOC_GREAT_PERSON_INDIVIDUAL_CHARLES_CORREA_NAME,GREAT_PERSON_CLASS_ENGINEER,ERA_INFORMATION,1,1,0,0,0,0,0,,0,0,0,0,0,,,,,,,,DISTRICT_CITY_CENTER,,,,,1,,,,M,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_JOSEPH_PAXTON,LOC_GREAT_PERSON_INDIVIDUAL_JOSEPH_PAXTON_NAME,GREAT_PERSON_CLASS_ENGINEER,ERA_INFORMATION,1,1,0,0,0,0,0,,0,0,0,0,0,,,,,,,,DISTRICT_ENTERTAINMENT_COMPLEX,,,,,1,,,,M,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_WERNHER_VON_BRAUN,LOC_GREAT_PERSON_INDIVIDUAL_WERNHER_VON_BRAUN_NAME,GREAT_PERSON_CLASS_ENGINEER,ERA_INFORMATION,1,1,0,0,0,0,0,,0,0,0,0,0,,,,,,,,DISTRICT_SPACEPORT,,,,,1,,,,M,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_BOUDICA,LOC_GREAT_PERSON_INDIVIDUAL_BOUDICA_NAME,GREAT_PERSON_CLASS_GENERAL,ERA_CLASSICAL,1,0,0,0,0,1,0,,0,0,0,0,0,,,,,,,,,,,LOC_GREATPERSON_ACTION_NAME_RETIRE,,1,,,2.0,F,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_HANNIBAL_BARCA,LOC_GREAT_PERSON_INDIVIDUAL_HANNIBAL_BARCA_NAME,GREAT_PERSON_CLASS_GENERAL,ERA_CLASSICAL,1,0,0,0,0,0,0,,0,0,0,0,0,DOMAIN_LAND,,,,,,,,,,LOC_GREATPERSON_ACTION_NAME_RETIRE,,0,,,2.0,M,0,0,0,0,1
GREAT_PERSON_INDIVIDUAL_SUN_TZU,LOC_GREAT_PERSON_INDIVIDUAL_SUN_TZU_NAME,GREAT_PERSON_CLASS_GENERAL,ERA_CLASSICAL,0,1,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,LOC_GREATPERSON_ACTION_NAME_RETIRE,,1,,,2.0,M,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_AETHELFLAED,LOC_GREAT_PERSON_INDIVIDUAL_AETHELFLAED_NAME,GREAT_PERSON_CLASS_GENERAL,ERA_MEDIEVAL,1,1,0,0,0,0,0,,0,0,0,0,0,,,,,,,,DISTRICT_CITY_CENTER,,,LOC_GREATPERSON_ACTION_NAME_RETIRE,,1,,,2.0,F,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_EL_CID,LOC_GREAT_PERSON_INDIVIDUAL_EL_CID_NAME,GREAT_PERSON_CLASS_GENERAL,ERA_MEDIEVAL,1,0,0,0,0,0,0,,0,0,0,0,0,DOMAIN_LAND,STANDARD_MILITARY_FORMATION,,,,,,,,,LOC_GREATPERSON_ACTION_NAME_RETIRE,,0,,,2.0,M,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_GUSTAVUS_ADOLPHUS,LOC_GREAT_PERSON_INDIVIDUAL_GUSTAVUS_ADOLPHUS_NAME,GREAT_PERSON_CLASS_GENERAL,ERA_RENAISSANCE,1,0,0,0,0,0,0,,0,0,0,1,0,,,,,,,,,,,LOC_GREATPERSON_ACTION_NAME_RETIRE,,0,,,2.0,M,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_JOAN_OF_ARC,LOC_GREAT_PERSON_INDIVIDUAL_JOAN_OF_ARC_NAME,GREAT_PERSON_CLASS_GENERAL,ERA_RENAISSANCE,1,0,0,0,0,0,0,,0,0,0,0,1,,,,,,,,,,,LOC_GREATPERSON_ACTION_NAME_RETIRE,,0,,,2.0,F,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_ANA_NZINGA,LOC_GREAT_PERSON_INDIVIDUAL_AMINA_NAME,GREAT_PERSON_CLASS_GENERAL,ERA_RENAISSANCE,1,0,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,LOC_GREATPERSON_ACTION_NAME_RETIRE,,0,,,2.0,F,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_NAPOLEON_BONAPARTE,LOC_GREAT_PERSON_INDIVIDUAL_NAPOLEON_BONAPARTE_NAME,GREAT_PERSON_CLASS_GENERAL,ERA_INDUSTRIAL,1,0,0,0,0,0,0,,0,0,0,0,0,DOMAIN_LAND,STANDARD_MILITARY_FORMATION,,,,,,,,,LOC_GREATPERSON_ACTION_NAME_RETIRE,,0,,,2.0,M,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_RANI_LAKSHMIBAI,LOC_GREAT_PERSON_INDIVIDUAL_RANI_LAKSHMIBAI_NAME,GREAT_PERSON_CLASS_GENERAL,ERA_INDUSTRIAL,1,0,0,0,0,0,0,,0,0,0,1,0,,,,,,,,,,,LOC_GREATPERSON_ACTION_NAME_RETIRE,,0,,,2.0,F,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_SIMON_BOLIVAR,LOC_GREAT_PERSON_INDIVIDUAL_JOSE_DE_SAN_MARTIN_NAME,GREAT_PERSON_CLASS_GENERAL,ERA_INDUSTRIAL,1,1,0,0,0,0,0,,0,0,0,0,0,,,,,,,,DISTRICT_CITY_CENTER,,,LOC_GREATPERSON_ACTION_NAME_RETIRE,,1,,,2.0,M,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_JOHN_MONASH,LOC_GREAT_PERSON_INDIVIDUAL_JOHN_MONASH_NAME,GREAT_PERSON_CLASS_GENERAL,ERA_MODERN,1,0,0,0,0,0,0,,0,0,0,0,0,DOMAIN_LAND,,,,,,,,,,LOC_GREATPERSON_ACTION_NAME_RETIRE,,0,,,2.0,M,0,0,0,0,1
GREAT_PERSON_INDIVIDUAL_MARINA_RASKOVA,LOC_GREAT_PERSON_INDIVIDUAL_MARINA_RASKOVA_NAME,GREAT_PERSON_CLASS_GENERAL,ERA_MODERN,1,1,0,0,0,0,0,,0,0,0,0,0,,,,,,,,DISTRICT_AERODROME,,,LOC_GREATPERSON_ACTION_NAME_RETIRE,,1,,,2.0,F,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_SAMORI_TURE,LOC_GREAT_PERSON_INDIVIDUAL_SAMORI_TURE_NAME,GREAT_PERSON_CLASS_GENERAL,ERA_MODERN,1,0,0,0,0,0,0,,0,0,0,1,0,,,,,,,,,,,LOC_GREATPERSON_ACTION_NAME_RETIRE,,0,,,2.0,M,0,0,0,0,0
