Unit,Era,District,Quantity,NotStartTile,OnDistrictCreated,AiOnly,MinDifficulty,DifficultyDelta
UNIT_BUILDER,ERA_ATOMIC,DISTRICT_CITY_CENTER,1,0,1,1,DIFFICULTY_KING,0.5
UNIT_SETTLER,ERA_INFORMATION,DISTRICT_CITY_CENTER,4,0,0,0,,0.0
UNIT_BUILDER,ERA_INFORMATION,DISTRICT_CITY_CENTER,4,0,1,0,,0.0
UNIT_TRADER,ERA_INFORMATION,DISTRICT_CITY_CENTER,2,0,1,0,,0.0
UNIT_SPEC_OPS,ERA_INFORMATION,DISTRICT_CITY_CENTER,3,1,0,0,,0.0
UNIT_AT_CREW,ERA_INFORMATION,DISTRICT_CITY_CENTER,4,0,1,0,,0.0
UNIT_MACHINE_GUN,ERA_INFORMATION,DISTRICT_CITY_CENTER,3,0,0,0,,0.0
UNIT_AT_CREW,ERA_INFORMATION,DISTRICT_CITY_CENTER,1,1,0,1,DIFFICULTY_KING,1.0
UNIT_BUILDER,ERA_INFORMATION,DISTRICT_CITY_CENTER,1,0,1,1,DIFFICULTY_KING,0.5
UNIT_SETTLER,ERA_ANCIENT,DISTRICT_CITY_CENTER,1,0,1,1,DIFFICULTY_EMPEROR,0.5
UNIT_SETTLER,ERA_CLASSICAL,DISTRICT_CITY_CENTER,1,0,1,1,DIFFICULTY_EMPEROR,0.5
UNIT_SETTLER,ERA_MEDIEVAL,DISTRICT_CITY_CENTER,1,0,1,1,DIFFICULTY_EMPEROR,0.5
UNIT_SETTLER,ERA_RENAISSANCE,DISTRICT_CITY_CENTER,1,0,1,1,DIFFICULTY_EMPEROR,0.5
UNIT_SETTLER,ERA_INDUSTRIAL,DISTRICT_CITY_CENTER,1,0,1,1,DIFFICULTY_EMPEROR,0.5
UNIT_SETTLER,ERA_MODERN,DISTRICT_CITY_CENTER,1,0,1,1,DIFFICULTY_EMPEROR,0.5
UNIT_SETTLER,ERA_ATOMIC,DISTRICT_CITY_CENTER,1,0,1,1,DIFFICULTY_EMPEROR,0.5
UNIT_SETTLER,ERA_INFORMATION,DISTRICT_CITY_CENTER,1,0,1,1,DIFFICULTY_EMPEROR,0.5
UNIT_SETTLER,ERA_FUTURE,DISTRICT_CITY_CENTER,1,0,1,1,DIFFICULTY_EMPEROR,0.5
